,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia,353812.7131339384,0.3557762379203504,0.2624054967861032,1.3558261632390929,0.1809036103789411,0.5622500477380054,0,53
Bacteria*Firmicutes*Clostridia,584666.978047312,-0.4215986826581822,0.2404471765246525,-1.753394191405515,0.08531625324810077,0.42658126624050385,0,53
Bacteria*Proteobacteria*Gammaproteobacteria,8932.94589845477,0.1429048357802492,0.4612937919735267,0.3097913699832544,0.7579344171784758,0.8365359496351071,0,53
Bacteria*Verrucomicrobiota*Verrucomicrobiae,653.0001326689573,-1.397602574640248,1.1138212724297332,-1.2547817223776516,0.21506313373144692,0.5622500477380054,0,53
Bacteria*Fusobacteriota*Fusobacteriia,17.146226896366056,0.9339350982306724,0.4969860441218785,1.879197835184359,0.06572080421947044,0.4107550263716902,0,53
Bacteria*Firmicutes*Negativicutes,19155.57353144077,0.7235778423832392,0.3225768036639794,2.243118023876798,0.029093584469431392,0.3636698058678924,0,53
Bacteria*Actinobacteriota*Actinobacteria,3411.5065162057285,-0.3599667574787847,0.7161753944903914,-0.5026237430775266,0.6173110225120919,0.8365359496351071,0,53
Bacteria*Firmicutes*Bacilli,24424.96394995026,-0.4943730027022645,0.3828390025950421,-1.291333953309873,0.20219164332485606,0.5622500477380054,0,53
Bacteria*Proteobacteria*Alphaproteobacteria,666.6590629032285,-0.9604005302420957,1.1054704616842892,-0.8687708659160683,0.38888967533153473,0.7478647602529515,0,53
Bacteria*Cyanobacteria*Vampirivibrionia,166.16442338925208,-0.27590452287429307,1.0929458719572782,-0.25244115921330623,0.801676557637442,0.8365359496351071,0,53
Archaea*Euryarchaeota*Methanobacteria,307.0931956429118,-2.502766667313039,0.7871578022716513,-3.1794980118221887,0.002464370535342006,0.06160926338355015,1,53
Bacteria*Desulfobacterota*Desulfovibrionia,3110.160353224734,-1.3285181810312887,0.657976665799618,-2.0190961930493128,0.0485479969477407,0.40456664123117253,0,53
Bacteria*Elusimicrobiota*Elusimicrobia,22.84314119980891,-0.44155357876826173,0.3664980997734079,-1.2047909089876805,0.23363636351041794,0.5622500477380054,0,53
Bacteria*Firmicutes*Limnochordia,27.228335811459264,-0.05926690892489658,0.39837564184396534,-0.14877141747564496,0.8822986298547917,0.8822986298547917,0,53
Bacteria*Verrucomicrobiota*Lentisphaeria,127.5762061440522,-1.1043161318287935,0.68888746742536,-1.6030428539454373,0.11486886116761903,0.4786202548650793,0,53
Bacteria*Actinobacteriota*Coriobacteriia,317.0578272242145,0.16091666683622458,0.6420661958728814,0.25062317229995307,0.8030745116497028,0.8365359496351071,0,53
Bacteria*Synergistota*Synergistia,31.028895340955845,-0.1743141271463558,0.45802961839250517,-0.3805739195603254,0.705040548572057,0.8365359496351071,0,53
Bacteria*Cyanobacteria*Cyanobacteriia,18.711080190726104,0.49536733218700535,0.4235311113521962,1.169612618552294,0.24739002100472232,0.5622500477380054,0,53
Bacteria*Spirochaetota*Spirochaetia,16.14780298859103,0.05886958263623415,0.16054335188067784,0.3666896320938182,0.7153104655911163,0.8365359496351071,0,53
Archaea*Thermoplasmatota*Thermoplasmata,16.14780298859103,0.17533104296086094,0.22732726658286953,0.7712715047182693,0.44397110436219256,0.7832414608923068,0,53
Bacteria*Verrucomicrobiota*Kiritimatiellae,18.84939622047205,-0.16431083909661,0.2257666195186652,-0.7277906691738619,0.4699448765353841,0.7832414608923068,0,53
Bacteria*Campilobacterota*Campylobacteria,18.710546352829464,0.08127704091725224,0.25795534977110735,0.3150818193511868,0.7539367515948732,0.8365359496351071,0,53
Bacteria*Firmicutes*Incertae_Sedis,28.498887533761977,-0.32645569267197305,0.33300426093610425,-0.9803348814645116,0.3313747924025656,0.6903641508386784,0,53
Bacteria*Firmicutes*Syntrophomonadia,16.14780298859103,0.05886958263623415,0.16054335188067784,0.3666896320938182,0.7153104655911163,0.8365359496351071,0,53
Bacteria*Bdellovibrionota*Oligoflexia,16.14780298859103,0.05886958263623415,0.16054335188067784,0.3666896320938182,0.7153104655911163,0.8365359496351071,0,53
