Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia,-0.3226046043011476,-0.634,0.018,0.206,0.7878666666666667,17223.975901733167,0.2883394894580445
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia,-0.786606149202659,-1.13,-0.429,0.193,1.0,17801.82207903248,-0.3810732383361836
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria,0.0,0.0,0.0,0.0,0.0,1258.4829218420043,0.7537595522512562
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae,-0.48898065967561294,-1.115,0.097,0.358,0.6868,210.75189416144207,0.04830957944663546
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia,0.0,-0.378,1.471,0.429,0.5048666666666667,36.36701724533871,0.753759552251256
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes,0.0,-0.397,0.398,0.113,0.3096,2150.944322014329,0.7537595522512562
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria,0.0,-0.642,0.231,0.2,0.47326666666666667,821.1142376031814,0.7537595522512562
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli,-0.44784385258372134,-0.871,0.006,0.277,0.8058666666666666,1471.1775178241269,0.1076574470361135
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria,-0.3819570457663763,-0.99,0.171,0.311,0.6499333333333334,242.42810652115162,0.20271201649150647
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Vampirivibrionia,0.0,-0.848,0.39,0.25,0.4788,174.80345775529804,0.7537595522512562
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Euryarchaeota*Methanobacteria,-0.7533530591467349,-1.441,0.016,0.449,0.8620666666666666,107.91125594074347,-0.3330991702182681
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota*Desulfovibrionia,-0.507642542202151,-0.998,0.011,0.318,0.815,476.7630905675894,0.021386174071946935
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Elusimicrobiota*Elusimicrobia,0.0,-1.637,0.661,0.505,0.562,10.683091353616962,0.7537595522512562
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Limnochordia,0.0,-0.896,0.767,0.311,0.48373333333333335,37.101679726470685,0.7537595522512565
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Lentisphaeria,0.0,-0.929,0.287,0.275,0.49646666666666667,189.36232517118034,0.7537595522512565
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia,0.0,-0.489,0.448,0.15,0.3791333333333333,387.86690182318125,0.7537595522512565
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Synergistota*Synergistia,0.0,-1.015,0.503,0.321,0.5553333333333333,58.303506901666225,0.7537595522512565
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Cyanobacteriia,0.0,-0.675,1.269,0.386,0.5208,28.350998336202107,0.7537595522512565
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Spirochaetia,0.0,-1.332,1.307,0.495,0.538,0.49990472147641746,0.7537595522512565
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Thermoplasmatota*Thermoplasmata,0.0,-0.92,1.153,0.413,0.5564666666666667,3.9026751123315955,0.7537595522512562
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Kiritimatiellae,0.0,-1.634,0.833,0.546,0.5572,4.612002960110652,0.7537595522512567
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Campilobacterota*Campylobacteria,0.0,-0.989,0.823,0.353,0.5374,24.69651756035294,0.7537595522512567
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Incertae_Sedis,0.0,-1.169,0.521,0.395,0.6178666666666667,65.86862607033454,0.7537595522512567
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Syntrophomonadia,0.0,-1.214,0.918,0.401,0.503,0.33476122724983476,0.7537595522512562
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bdellovibrionota*Oligoflexia,0.0,-1.256,1.111,0.482,0.5913333333333334,0.3842977040625884,0.7537595522512562
