,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,0.328033444307908,0.5160785972438654,0.6356269104353122,0.5250196253449841,0.9757590511891865,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,0.03796969102945228,0.088338893492569,0.42981850381277714,0.66732767160559,0.9757590511891865,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,0.29998032166062827,0.16490694875918116,1.8190884248225285,0.06889794072906248,0.6140865551259317,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae,-0.17838612849523974,0.2335596899173748,-0.7637710452447787,0.4450036945449757,0.9757590511891865,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,-0.15163780780426142,0.11514974774340997,-1.3168748588330248,0.18788057500573824,0.8955145726427441,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,0.3117421417551712,0.2701833016149951,1.1538172044377355,0.24857511917199654,0.9708166983875375,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,-0.27651963365168886,0.4171532357957727,-0.6628730402251168,0.5074118695678758,0.9757590511891865,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,0.29553608603947834,0.17435148399689593,1.6950591945907378,0.09006419204675849,0.6626151272011517,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.41840779270827727,0.31046645078590024,1.3476747379600578,0.1777630206290307,0.8955145726427441,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,-0.2910540221867967,0.14134270229762222,-2.059207992032943,0.03947431789881525,0.46256137897705096,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,0.41384530728436986,0.16260784950996549,2.5450512292704985,0.010926170720206109,0.2741860017387396,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,-0.07032330122125713,0.19977568051016942,-0.3520113211061112,0.7248297721827754,0.9757590511891865,0,0,0,False
