,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,15488.450657538828,0.32749249647836975,0.7565686551425719,0.4328655360651378,0.6656394447043112,0.9081609928374476,0,177
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,406022.00228189887,-0.17350521098361887,0.12883417135482597,-1.3467328516885717,0.17978815889816274,0.7715908486046151,0,177
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,223042.75566856685,0.20483231442444716,0.24262281468458657,0.8442417696403874,0.3996739250959658,0.8949220496714017,0,177
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae,39.60815432662645,-0.3925933135572198,0.3651667951916072,-1.0751068244066977,0.28379024772750533,0.8838410966807805,0,177
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,169393.87858707356,-0.4485242957526785,0.1782095959998302,-2.516835826018627,0.012730053044785163,0.1827409162536581,1,177
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,155.86356316493035,0.43268820552999154,0.4914865951630783,0.8803662394625899,0.37985471221490885,0.8949220496714017,0,177
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,512.7713625400369,-0.5757650672754089,0.678134501614787,-0.8490425806449693,0.39700444876502805,0.8949220496714017,0,177
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,31.725274552106566,0.42937129886047243,0.3569325521368618,1.2029479975696775,0.2306030573353344,0.84828981805498,0,177
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,441.3662044778201,0.5257516249988924,0.5110404906092784,1.0287866317052,0.30498375771981673,0.8838410966807805,0,177
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,62100.91500840007,-0.6541137122127548,0.21996976776759813,-2.973652783521767,0.0033531868684490295,0.11512608248341669,1,177
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,15328.007186488567,0.3599471760531004,0.2596274743168677,1.3863986351991215,0.1673690624306732,0.7495223230591018,0,177
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,25157.081254673594,-0.3409694129905591,0.3121464883340102,-1.092337814884232,0.2761691991296666,0.8838410966807805,0,177
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,6376.654542133911,-0.933321754992276,0.4625444023237422,-2.017799264899609,0.04512242315699562,0.3199391392524442,0,177
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,83.93124950851126,0.40576466960404367,0.44995349178195876,0.9017924674772201,0.368392601225765,0.8949220496714017,0,177
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,5655.6234644194465,-0.41194693758070194,0.5795124690306089,-0.7108508610173555,0.4781123071139747,0.9081609928374476,0,177
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,14956.668414313697,-0.9290877336481279,0.27868514113912546,-3.3338258719158187,0.0010432773186121738,0.05372878190852695,1,177
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,4524.505988342231,-0.9228246075644211,0.37083106915142916,-2.48853098980114,0.013751309023979778,0.1827409162536581,1,177
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,6894.882807277766,-1.2454337047026895,0.48614888799492767,-2.5618359631333436,0.011245323174441681,0.1827409162536581,1,177
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,70.8214225624432,-0.22599313426714307,0.5374590705071913,-0.42048436182103516,0.6746416999298895,0.9081609928374476,0,177
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,8524.035220532507,-0.15247018690074088,0.3246935848757783,-0.4695817657101945,0.639231823492947,0.9081609928374476,0,177
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,3537.4982687218785,-0.562912145550457,0.5985121091642939,-0.9405192258122475,0.3482330818597612,0.8949220496714017,0,177
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,2653.5705898857623,-0.7921327316566604,0.4141920334784724,-1.912476985624668,0.05742981870082632,0.3697044578865694,0,177
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,233.71321448997855,-0.6080690734855226,0.6065848831064845,-1.0024467975057954,0.31749631628338715,0.8838410966807805,0,177
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,6422.364593238226,-0.8329473788012512,0.35339240956528734,-2.3570041581421366,0.019516020182429508,0.1827409162536581,1,177
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,1439.4549510666873,0.18951986313184271,0.4054193673956074,0.4674662297198782,0.6407413487553575,0.9081609928374476,0,177
Archaea*Euryarchaeota*Methanobacteria*Methanobacteriales*Methanobacteriaceae,256.74736971458196,-0.9801293264199155,0.4869964324085161,-2.0126006294800445,0.04567248839189078,0.3199391392524442,0,177
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales*Desulfovibrionaceae,3850.6076726794595,-0.4258661129681329,0.33751252850884506,-1.2617786807785787,0.20868865991083665,0.7961085915117102,0,177
Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,629.0251590438369,-1.4781922352609222,0.5169706678873527,-2.859334827064151,0.004755549229627496,0.12245539266290803,1,177
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,2176.777194541416,-0.5952560665906594,0.3484855143536608,-1.7081228403271973,0.08936666938269477,0.5113759414676423,0,177
Bacteria*Firmicutes*Bacilli*Acholeplasmatales*Acholeplasmataceae,53.85690049002124,-0.8060823232110417,0.33511417860351467,-2.40539605507037,0.017185236795533534,0.1827409162536581,1,177
Bacteria*Elusimicrobiota*Elusimicrobia*Elusimicrobiales*Elusimicrobiaceae,25.858016833076206,-0.20532242714274518,0.15762673210586697,-1.3025863341812118,0.19440827998710816,0.7961085915117102,0,177
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,3053.4790312496466,-0.0720947493029146,0.35385252090137986,-0.20374236452877412,0.8387888903920591,0.9567096714153015,0,177
Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae,28.651191528980466,-0.06221284679819726,0.20341078335111065,-0.30584832216495944,0.760079556237108,0.9362593753914781,0,177
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae,2446.4795325905816,0.11238099487989149,0.2867982447967344,0.3918468711673619,0.6956427350915532,0.9186051501849997,0,177
Bacteria*Firmicutes*Bacilli*Lactobacillales*Leuconostocaceae,24.65853799016878,0.39266937876872066,0.19594104316915484,2.004018006731399,0.04659307853190935,0.3199391392524442,0,177
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,3406.3540029315914,-0.6099343561096302,0.28278945646471404,-2.156849706261014,0.03236623130382394,0.27781015202448883,0,177
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae,2582.7827834772197,-0.11480981303135031,0.24475846036434554,-0.46907393052091156,0.639594048468388,0.9081609928374476,0,177
Bacteria*Verrucomicrobiota*Lentisphaeria*Victivallales*vadinBE97,55.102723575994254,-0.21718494336645228,0.32584700688868146,-0.6665242852473057,0.5059439018769796,0.9081609928374476,0,177
