,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,-0.3752816372344397,0.78878406904094,-0.47577233360041604,0.6342365821332734,0.9505834027093949,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,-0.09752965006677972,0.13706397673005732,-0.711562967845745,0.4767354456444303,0.9505834027093949,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,0.5307623051209982,0.24665274415385294,2.1518605314600845,0.03140834062838113,0.3972921802621121,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae,-0.8812351177443326,0.4846645210121575,-1.818237315791117,0.06902786888368971,0.5469131150015416,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,0.030212711969135962,0.13474755769375743,0.2242171397109905,0.8225883474079899,0.9765780955214414,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,0.02332267059186397,0.4121356047702647,0.05658979792552659,0.9548719615984563,0.9835181204464101,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,0.0861985581502081,0.646186589482458,0.13339577074672196,0.8938803899731986,0.9826548934397245,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,0.48586945770508533,0.14701310293453124,3.3049398183334424,0.0009499679587316764,0.04892334987468134,1,0,0,True
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.5689932547409267,0.47956926103101577,1.1864673176042604,0.23543780078553708,0.8099963403932123,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,-0.03054152174223452,0.15104049572421546,-0.20220750465491202,0.839754506449216,0.9826548934397245,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,0.5161622487602685,0.24443331389417594,2.1116689887194915,0.03471485070251465,0.3972921802621121,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,-0.016318479710491055,0.28145884139269833,-0.057978209637135215,0.9537659855143957,0.9835181204464101,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,0.1696102001541211,0.3413514498320669,0.4968785110992306,0.6192747259990484,0.9505834027093949,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,0.5940977120996767,0.2525601311826695,2.35230204117206,0.01865761790217597,0.28657163033395955,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,0.9013125376889912,0.5526313454515639,1.6309471858721918,0.10290146405289809,0.5888250443026947,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,-0.4404739193606952,0.26999393565846225,-1.6314215291038507,0.10280140519058575,0.5888250443026947,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,-0.2997890216013708,0.4170689534259783,-0.7187996592380679,0.4722643676675309,0.9505834027093949,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,-0.5762674996920545,0.3719205671810582,-1.5494370318367368,0.12127669746151028,0.5974987881662015,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,0.1613153738033678,0.3886292916300284,0.41508804734394183,0.6780774490750403,0.9505834027093949,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,0.35207576826426756,0.283671838460615,1.2411375417977903,0.2145549430694848,0.8099963403932123,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,-0.8681794020146332,0.4897869614760257,-1.7725653606586038,0.07630075584171245,0.5613555608354558,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,-0.6093776367301047,0.39386375021902387,-1.5471787804570378,0.12182014127660418,0.5974987881662015,0,0,0,False
