,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,0.28675300585828073,0.6729547035762552,0.42611041179205844,0.6700273937412703,0.9564848458489635,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,-0.06595268448763414,0.1072089054128096,-0.61517916103781,0.5384364083190387,0.9564848458489635,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,0.3363477996779668,0.20875642751956394,1.611197334972814,0.10713671850109573,0.7640222580175524,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae,-0.3374636568674536,0.22735002825122375,-1.484335231727147,0.13772000798679163,0.8238656859365621,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,0.008397278503155987,0.13322776114282034,0.06302949498756563,0.9497430174053889,0.9719666444503007,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,-0.0539635333046834,0.3232655363652352,-0.16693252832158936,0.8674231383473968,0.9719666444503007,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,1.3349503158131233,0.5735113078119138,2.3276791540628654,0.019929146865461673,0.4696291990560033,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,0.22830288600850432,0.20194029011108897,1.130546489177138,0.2582460208303541,0.9305051884568497,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.23661684378749576,0.3944560386425778,0.5998560564613327,0.5486021706995544,0.9564848458489635,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,0.2507004683833023,0.1767711940313677,1.4182201447302323,0.15612650230402034,0.8238656859365621,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,0.6903623407683764,0.1987204072344633,3.4740384763495475,0.0005126875104276173,0.026403406787022292,1,0,0,True
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,0.5077910701436574,0.223027358527658,2.2768106724479966,0.02279753393475744,0.4696291990560033,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,-0.027451941712466843,0.404543311472665,-0.06785909180535735,0.9458978036615917,0.9719666444503007,0,0,0,False
