,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,15581.97335497869,0.3038566102135829,1.0463927564519693,0.29038485629800925,0.7721481828251343,0.8909302373526372,0,96
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,405609.17244389886,-0.3099738448278583,0.15989503266398336,-1.938608346134573,0.05548615200806194,0.5195521506209436,0,96
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,222815.97311941456,0.27091016017735936,0.32829468007958656,0.8252042345361313,0.41130152232102035,0.8640783407988686,0,96
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae,39.56788205605439,-0.6309003047484545,0.5027682900365547,-1.2548530152977304,0.21257844794472444,0.8101448381046431,0,96
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,169221.64445428737,-0.20264093340185135,0.18743858651891468,-1.0811057486362479,0.28235844975523045,0.8309405807082496,0,96
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,155.70508621252438,-0.0961533461573663,0.6262447552747158,-0.15353956316198858,0.8782950833748155,0.9046439358760601,0,96
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,551.4414431013258,2.0777847521921906,0.9252568077782131,2.2456303317362267,0.0270213469091812,0.3849864290376062,0,96
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,31.693017334812346,0.3902362234625528,0.339962724035419,1.147879446400412,0.25387077482873344,0.8101448381046431,0,96
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,467.7000115961203,0.2215856487299463,0.6664319563502353,0.3324955332926661,0.7402400546901519,0.8909302373526372,0,96
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,62037.77283743784,0.1471831383985696,0.24283674792744084,0.6060991166071276,0.5458794158614059,0.8640783407988686,0,96
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,15312.422172159011,0.7852721183355936,0.29965554032560926,2.6205826779718726,0.010205432663080782,0.23798195199475303,0,96
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,25131.502360622155,0.527919319863339,0.3528587979256482,1.496120609622941,0.1379026311764612,0.8101448381046431,0,96
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,6432.187546702223,-0.3147823669624711,0.5615830624050683,-0.5605268179107216,0.5764259937088465,0.8640783407988686,0,96
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,95.82288435203627,0.5738234285294961,0.5967852749843994,0.9615241068816527,0.3387043406017629,0.8508913922434531,0,96
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,5726.561169136039,-0.41300123416083123,0.7936951483197588,-0.520352474164859,0.6040159275487237,0.8640783407988686,0,96
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,14941.460965052875,-0.6363786594757829,0.3653132464172874,-1.7420081689259765,0.08470982475765308,0.596875414666948,0,96
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,4519.905619239821,-0.5268548088374235,0.5384075422076458,-0.9785427720368621,0.33026548990355753,0.8508913922434531,0,96
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,7020.8031065934565,-0.007295533016962591,0.6191676277802477,-0.011782807578486468,0.9906233492904274,0.9906233492904274,0,96
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,70.74941366578481,-0.4987385709442964,0.7125953893331702,-0.6998902580761911,0.48568841981335176,0.8640783407988686,0,96
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,8515.368261452903,-0.07463648327792598,0.34660396588491993,-0.2153364953207342,0.8299618032483083,0.8909302373526372,0,96
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,3707.3647289330074,0.031149649194592496,0.7256123126917412,0.04292877704767624,0.9658474717586454,0.9753165646190243,0,96
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,2670.602738686835,-0.36297869176830067,0.5103127913797483,-0.7112866812272216,0.478631343682939,0.8640783407988686,0,96
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,240.98761333089425,-0.1571240798880501,0.8865135773617949,-0.17723821033360915,0.8596946983262264,0.898328539206148,0,96
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,6415.834543832783,-0.5695887421866481,0.40797570335350697,-1.396133979314707,0.16589431317155873,0.8101448381046431,0,96
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,1455.238180780647,0.2980323029374615,0.569770247745881,0.5230745271739508,0.6021276309834491,0.8640783407988686,0,96
Archaea*Euryarchaeota*Methanobacteria*Methanobacteriales*Methanobacteriaceae,265.5196733694652,0.6347071699196308,0.7495354524181603,0.8468007322027676,0.39921224317718285,0.8640783407988686,0,96
