,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,21565.68444841857,-1.3633733977842393,1.5445861799125755,-0.8826787495026059,0.38199949607957473,0.9179466346315348,0,46
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,446906.09559738095,-0.7632385155410555,0.2391640790593782,-3.1912757072167315,0.002553325617465759,0.2475641060007876,0,46
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,174665.3737587272,0.37633051852477706,0.40141087288085686,0.9375194942377061,0.35338789817670047,0.9179466346315348,0,46
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae,69.2687457812332,-1.8991762099464415,0.7527590938370349,-2.522953525896022,0.015158291250726376,0.31226079976496335,0,46
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,171963.513979154,-0.456987053401458,0.26110841098725274,-1.7501812816890376,0.08675506061228354,0.8137797082162785,0,46
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,218.71316202042863,-0.44467071050651424,0.8336081726683847,-0.5334289239069245,0.5963048809003949,0.9179466346315348,0,46
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,471.1512958181914,1.1397556429229274,1.4163598052225574,0.8047077011930833,0.42512807663291874,0.9179466346315348,0,46
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,20.765397547967712,1.1955069436264765,0.47254290642517033,2.529943688437933,0.014896522513456191,0.31226079976496335,0,46
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,435.2370580419015,1.16018845971799,0.9211810435095902,1.2594575929372254,0.2142182993663539,0.9179466346315348,0,46
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,57781.03859120634,0.24413636684713697,0.24656493598926418,0.990150387230109,0.32728056554569707,0.9179466346315348,0,46
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,14611.186862172983,0.5496562635960488,0.38009657599025487,1.4460963300288745,0.15492974706654197,0.9179466346315348,0,46
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,26216.967841430836,0.3610820699513796,0.4858232121003966,0.7432375830506037,0.46111710474849266,0.9179466346315348,0,46
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,4650.753376567489,0.047275572631952215,0.6869749904183357,0.06881702142193502,0.9454335491505559,0.9537855726341571,0,46
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,33.7144183390259,0.30587840037874003,0.5326630840611334,0.5742436627044997,0.56860055081228,0.9179466346315348,0,46
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,3361.9526819177117,0.45463691099861236,0.9887104711036301,0.45982815423319245,0.647805617434411,0.9179466346315348,0,46
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,15530.745492646078,-1.2308333574568995,0.4167560262215305,-2.953366670222157,0.0049381394676213195,0.2475641060007876,0,46
