,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,0.6558470112489042,0.5902293686695149,1.1111731236405662,0.2664938374668363,0.9149347094014952,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.30328192259558084,0.15816324286449399,1.9175246859057953,0.05517130790449809,0.7431378725082088,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae*Succinivibrio,-0.24994739149233547,0.22941287334131952,-1.0895090055406995,0.27592948575371323,0.9149347094014952,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,0.11485588430447535,0.11322212264811198,1.0144297034727128,0.3103777567710227,0.9149347094014952,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,0.023139012249279535,0.17893383470926422,0.1293160250372789,0.8971075917545863,0.9658754210876905,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,-0.2732180327167353,0.42038657176146543,-0.6499209324691844,0.5157432961781268,0.9396712473455789,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,-0.2078173119435439,0.28960132587779586,-0.7175979298908228,0.47300523441787073,0.9396712473455789,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae*Fusobacterium,0.28045868108225286,0.16866601082675006,1.6628049700560814,0.09635148145381385,0.8506459362636709,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,0.29925491443457536,0.26566735577041495,1.1264271199852878,0.2599847728912487,0.9149347094014952,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,-0.09096515968820369,0.4581000042319354,-0.19857052793683921,0.8425987097798597,0.961295057761914,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,0.18067512607963696,0.3001743286908883,0.6019006584193664,0.5472402659584314,0.9396712473455789,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,-0.2292600694941666,0.18781946346798203,-1.220640636816903,0.22222211314219611,0.9149347094014952,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,0.4210612227702354,0.15864839855401383,2.6540527771345883,0.007953138654843504,0.30526279504998316,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,0.13590913381775813,0.2322486652789941,0.5851880080968135,0.558421307321793,0.9396712473455789,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Alloprevotella,0.43896329689744934,0.3228832034890352,1.3595110930332308,0.173984689739907,0.9149347094014952,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,-0.4622621477434715,0.2894047150907601,-1.597286165840462,0.11020193312454073,0.877109850889365,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,-0.4215931310897356,0.2728195886649521,-1.5453184030985814,0.12226926622079223,0.877109850889365,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,0.23379090536908773,0.24306707277269332,0.9618370053261789,0.3361314862124388,0.9149347094014952,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,-0.13979009771366288,0.19521075365649546,-0.7160983454817551,0.4739306253371143,0.9396712473455789,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,-0.35241073147115914,0.3017514058076239,-1.167884307043899,0.24285343500189796,0.9149347094014952,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Megasphaera,-0.2766774445859292,0.30918844648581845,-0.8948505279889867,0.37086699567459264,0.9149347094014952,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelotrichaceae_UCG-003,-0.42781849438637376,0.32477635582739645,-1.3172710596387731,0.18774778231045414,0.9149347094014952,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Coprococcus,-0.6612458652123187,0.2757029283298196,-2.3983998618298297,0.016466878296067442,0.36344752810606,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,-0.5719538847557997,0.3220496634396296,-1.7759803834200134,0.07573615047786159,0.8506459362636709,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,-0.12074565125435163,0.16957894703877127,-0.7120320851310938,0.4764449078712416,0.9396712473455789,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Rikenellaceae_RC9_gut_group,-0.5166008644051512,0.24861084621711882,-2.077949825061088,0.03771398071600637,0.613348423223472,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,-0.5612619909780411,0.1963111744212192,-2.8590425004220976,0.004249218507781745,0.2188347531507599,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Catenibacterium,-0.7758416581266182,0.39782564638136225,-1.9502052348401981,0.05115166211774989,0.7431378725082088,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospira,0.03404392664840721,0.22049908617286584,0.15439486502777436,0.8772984022293197,0.961295057761914,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,0.13858654619865454,0.2685738559586646,0.5160090720817739,0.6058480730135778,0.9396712473455789,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae*Holdemanella,-0.6904806897398356,0.40890228212328783,-1.6886202888240405,0.09129222003640024,0.8506459362636709,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae*Parasutterella,0.3520914661429394,0.32938642413062524,1.068931323056927,0.28510061647908763,0.9149347094014952,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,0.02185463497329466,0.4619384997882408,0.04731070257905141,0.9622655982110715,0.9763414347092487,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-005,-0.6061565361347331,0.2756296791315195,-2.1991700532564904,0.027865832856265513,0.5595212204007274,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Dorea,-0.21959618144123985,0.1749137251575744,-1.2554542603412764,0.20931390245160408,0.9149347094014952,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Paraprevotella,-0.018303301098215954,0.40220309924753583,-0.045507608301524276,0.9637027106353425,0.9763414347092487,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,0.6348265761034242,0.15252756327166625,4.162044960835944,3.154102275251567e-05,0.009746176030527343,1,0,0,True
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium_sensu_stricto_1,-0.39355019663374563,0.25814942286762355,-1.5245054289180195,0.12738250173220228,0.877109850889365,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*NK4A214_group,-0.4590357415936996,0.2905483428029048,-1.5798945441072063,0.11413101889943102,0.877109850889365,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,0.2641137360732593,0.2647904836366798,0.9974442149350462,0.3185489387507543,0.9149347094014952,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Phascolarctobacterium,0.012049022097196369,0.37941633017605514,0.031756730374798134,0.9746660533755738,0.9799406735604945,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Acidaminococcus,-0.030714215349971805,0.3482106949069849,-0.08820583571729834,0.9297130791667159,0.9736227934386419,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Peptoclostridium,0.04814811838403357,0.06309117527016714,0.7631513944359911,0.44537311233702304,0.9298668358928386,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*CAG-352,0.0683455121124876,0.24091331958310733,0.28369337249911003,0.7766453741374095,0.961295057761914,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Veillonella,0.47309188210065223,0.25686483670581683,1.841793093082946,0.06550542075611376,0.8433822922349647,0,0,0,False
Archaea*Euryarchaeota*Methanobacteria*Methanobacteriales*Methanobacteriaceae*Methanobrevibacter,-0.3935647117666837,0.298278429620826,-1.3194541498256724,0.18701732887620182,0.9149347094014952,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae*Turicibacter,-0.23953411180969728,0.24289732760340868,-0.986153755469872,0.32405766827951993,0.9149347094014952,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_UCG-004,0.3519592467185137,0.25845594114325576,1.3617765765478431,0.17326840591335554,0.9149347094014952,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Intestinibacter,-0.36441046810317607,0.2790685181050705,-1.3058100232071823,0.1916171706358003,0.9149347094014952,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales*Desulfovibrionaceae*Bilophila,0.04745971761195746,0.22328768316625877,0.21254964420325514,0.8316782519495106,0.961295057761914,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,-0.24946848293024118,0.2108848647105931,-1.1829605850215859,0.23682476868432106,0.9149347094014952,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_UCG-001,-0.2088729918872209,0.3104287949519535,-0.6728531479160917,0.5010407215680435,0.9396712473455789,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*UCG-001,-0.004038144755664891,0.15830339780163355,-0.025508895018949627,0.9796490535979429,0.9799406735604945,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae*CAG-873,0.07906617003421522,0.10906458193297391,0.7249481787112673,0.4684838224664209,0.9396712473455789,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Terrisporobacter,-0.5954296023399555,0.24511192113555164,-2.4292151910908952,0.015131548264181493,0.3596652625870832,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,-0.26647134119402566,0.22388224987026945,-1.1902298701591343,0.23395605600639124,0.9149347094014952,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae*Monoglobus,-0.23355666724406632,0.21226858383509642,-1.1002884318741573,0.27120647080511845,0.9149347094014952,0,0,0,False
Bacteria*Firmicutes*Bacilli*Acholeplasmatales*Acholeplasmataceae*Anaeroplasma,-0.385710322380543,0.20126839255853918,-1.9163978878022718,0.055314469474721045,0.7431378725082088,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_UCG-003,-0.022868586113260665,0.09361979410698454,-0.2442708439107168,0.8070210628019512,0.961295057761914,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae*Sutterella,-0.12735053324990625,0.3230539733608709,-0.3942082244803347,0.6934273140722362,0.961295057761914,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Pygmaiobacter,-0.1575761671653226,0.10644337397191936,-1.4803755394571811,0.1387730540718107,0.9051280983185214,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Incertae_Sedis,0.004510905510708089,0.15324334534942152,0.02943622446000796,0.9765166823724413,0.9799406735604945,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*CAG-56,0.12145830067901711,0.315637011301661,0.3848037344484194,0.7003828321004708,0.961295057761914,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Tyzzerella,0.2628001294985858,0.2504927823896428,1.0491325418302826,0.29411712067060075,0.9149347094014952,0,0,0,False
Bacteria*Elusimicrobiota*Elusimicrobia*Elusimicrobiales*Elusimicrobiaceae*Elusimicrobium,-0.1277017539126176,0.11422481324972365,-1.1179861037148735,0.2635729284193594,0.9149347094014952,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*Flavonifractor,0.6801373173114063,0.237527829840812,2.863400544547665,0.004191203677361056,0.2188347531507599,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Sarcina,0.08385975889316287,0.12491744010000372,0.6713214650094352,0.5020157632968829,0.9396712473455789,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae*Barnesiella,0.1589227497326225,0.2629141705950588,0.6044662764769564,0.54553368362886,0.9396712473455789,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Enterococcus,-0.061240473885358804,0.11039015633577223,-0.5547639021280529,0.5790561609202409,0.9396712473455789,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Caproiciproducens,-0.07560491431278156,0.14873241476243668,-0.5083284261439697,0.6112230380570097,0.9396712473455789,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_UCG-003,-0.23527059098061043,0.21277678944634448,-1.105715485193643,0.2688496854029055,0.9149347094014952,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_UCG-001,0.20288791853781896,0.17235319973456834,1.1771636317183287,0.2391302014143187,0.9149347094014952,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Cronobacter,-0.0045431095855611985,0.023597042520582163,-0.19252877056938555,0.8473280337877358,0.961295057761914,0,0,0,False
