Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,0.2785869705577358,-0.018,0.581,0.186,0.7480666666666667,329.7696555335745,0.5299853373309765
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.0,-0.059,0.171,0.039,0.28173333333333334,6606.487677495197,0.12806929645105178
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae*Succinivibrio,-0.2993864546209898,-0.781,0.185,0.261,0.6765333333333333,8.805891375919053,-0.3038540569399794
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,0.0,-0.282,0.061,0.079,0.4367333333333333,2241.291243243288,0.12806929645105208
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,0.0,-0.307,0.154,0.085,0.3747333333333333,694.2328525536162,0.12806929645105178
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,0.0,-0.474,0.134,0.134,0.45093333333333335,133.19409518001527,0.12806929645105178
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,0.0,-0.425,0.057,0.131,0.4992666666666667,463.0372139893924,0.12806929645105178
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae*Fusobacterium,0.0,-0.368,0.507,0.16,0.44893333333333335,26.945260701083626,0.12806929645105208
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,0.0,-0.203,0.397,0.116,0.4372,119.31981708219249,0.12806929645105178
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,0.0,-0.533,0.229,0.172,0.5512666666666667,78.39870635476886,0.12806929645105147
