,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,0.2734207478285348,0.9406077871647097,0.29068518415386685,0.7712921038736787,0.9767592626924866,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.5312954034266513,0.23595686151514317,2.2516632913959738,0.024343558102949008,0.25938480875211184,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae*Succinivibrio,-0.8806558257909493,0.4832482978389491,-1.8223671552060863,0.06839929474664033,0.5154971238222406,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,-0.1456102731955074,0.18789839350232057,-0.7749415547488919,0.4383741958275989,0.9055661482411885,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,-0.24106833425672988,0.2739091248182805,-0.8801033350629038,0.3788033326075618,0.9055661482411885,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,0.08673165645586144,0.6490875489909258,0.1336208907268285,0.8937023639187138,0.9901344521461218,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,-0.45542715332743916,0.4799367382336278,-0.9489316342058031,0.34265538410329205,0.9055661482411885,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae*Fusobacterium,0.48640255601073834,0.14479312493692884,3.3592931723976043,0.0007814212000366958,0.026828794534593223,1,0,0,True
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,-0.0686734299582488,0.41479416816193365,-0.1655602591101016,0.8685030242261044,0.9901344521461218,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,0.23610882134314976,0.7088691399661898,0.3330781494514082,0.739075292787284,0.970139908078305,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,0.6846573096155127,0.42861803567907697,1.5973600096663743,0.11018548123186662,0.6281217909756799,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,-0.08145809399812197,0.23673405380030016,-0.3440911549921623,0.7307777345267594,0.970139908078305,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,0.5258632190463847,0.23936536481839202,2.1969060538284655,0.028027156411779976,0.2793674622980649,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,0.22546103048296257,0.38088643355177976,0.591937676489368,0.5538923231321369,0.9055661482411885,0,0,0,False
