Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,0.0,-0.267,0.671,0.175,0.384,391.6793643629328,0.4167267698289815
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.0,-0.357,0.054,0.09,0.3352,7468.455953040469,0.4167267698289817
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae*Succinivibrio,-0.724574383940123,-1.757,0.077,0.537,0.8068666666666666,11.357396129812946,-0.6286131006366104
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,-0.6056882504837194,-0.875,-0.336,0.157,0.9908666666666667,2112.7703060048284,-0.4570966654685928
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,0.0,-0.743,0.015,0.247,0.6186666666666667,928.3822516074318,0.4167267698289815
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,0.0,-0.599,0.239,0.158,0.39873333333333333,177.05201457077393,0.4167267698289812
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,-0.48825786737952387,-0.841,0.008,0.267,0.8595333333333334,437.98544956576666,-0.28768043411447863
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae*Fusobacterium,0.6866374821328636,-0.147,1.526,0.501,0.7610666666666667,43.2536247522883,1.4073352601905484
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,0.0,-0.578,0.384,0.163,0.36633333333333334,147.88627364132196,0.4167267698289817
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,0.0,-0.642,0.469,0.218,0.5529333333333334,88.1855887702077,0.4167267698289815
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,0.0,-0.369,0.553,0.163,0.42146666666666666,171.81933674597298,0.4167267698289817
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,-0.524673150356774,-0.804,-0.225,0.159,0.9956666666666667,1741.96733652667,-0.34021658227832574
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,0.0,-0.402,0.231,0.115,0.3994,1094.927639079592,0.4167267698289815
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,0.0,-0.561,0.127,0.155,0.4271333333333333,1141.8939894277148,0.4167267698289817
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Alloprevotella,0.0,-1.045,0.53,0.315,0.45793333333333336,41.572693980013774,0.4167267698289815
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,-1.0844126613400566,-1.403,-0.767,0.17,1.0,966.8379446139714,-1.1477499989635207
