Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,0.0,-0.24,0.463,0.128,0.3798,243.7840456823433,0.20528633012136585
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.0,-0.096,0.166,0.034,0.21166666666666667,6838.2202180493105,0.20528633012136613
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae*Succinivibrio,-0.3871565327367501,-1.086,0.255,0.357,0.6599333333333334,10.166787112252138,-0.35326247970570884
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,0.0,-0.284,0.091,0.061,0.2660666666666667,2338.541619947253,0.20528633012136585
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,0.0,-0.406,0.124,0.115,0.4294,722.9085842805227,0.20528633012136585
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,-0.6456163150427017,-1.139,-0.156,0.297,0.9347333333333333,71.49778424761257,-0.7261411259077462
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,-0.29768984115563074,-0.593,0.031,0.196,0.7400666666666667,360.8971207203289,-0.22418932743688624
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae*Fusobacterium,0.0,-0.654,0.611,0.256,0.5543333333333333,23.90966510091381,0.20528633012136585
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,0.0,-0.357,0.417,0.122,0.3412,118.3069803476938,0.20528633012136585
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,0.0,-0.546,0.333,0.156,0.4039333333333333,86.3391180061149,0.20528633012136613
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,0.0,-0.526,0.204,0.145,0.4152666666666667,165.05566402220518,0.20528633012136585
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,-0.4586820623451075,-0.699,-0.222,0.13,0.9976,1416.0133644407397,-0.4564520065686427
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,0.0,-0.225,0.27,0.073,0.31093333333333334,891.8364597812711,0.20528633012136557
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,-0.32302124950852745,-0.583,0.012,0.193,0.7684666666666666,680.7951989819052,-0.26073482464634284
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Alloprevotella,0.0,-0.326,0.781,0.249,0.5522,29.942616742414216,0.20528633012136613
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,-0.5370802603566838,-0.82,-0.251,0.15,1.0,723.5737778195215,-0.5695566980545755
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,-0.4508667569967299,-0.767,-0.12,0.179,0.9842,344.95570508200456,-0.44517690429950535
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,0.0,-0.421,0.469,0.154,0.43433333333333335,79.860612774801,0.20528633012136585
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,-0.30987713460833227,-0.534,0.003,0.172,0.8247333333333333,1171.928123412835,-0.24177187526295707
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,-0.4903542807269789,-0.783,-0.17,0.178,0.9794666666666667,517.9757849632562,-0.5021453589621211
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Megasphaera,0.0,-0.494,0.692,0.231,0.5044666666666666,27.61289226519809,0.20528633012136613
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelotrichaceae_UCG-003,-0.30146938611360485,-0.613,0.024,0.199,0.7618,272.8203141633287,-0.22964205820457187
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Coprococcus,-0.48378628278350094,-0.81,-0.192,0.182,0.9692,472.2443262117136,-0.49266974090049676
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,-0.4986835812840467,-0.82,-0.144,0.216,0.9276,263.11710347356563,-0.5141619995698766
