,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,3685.654242661801,-0.023847030333873226,1.5054463074342879,-0.01584050538110217,0.9874211148227684,0.9874211148227684,0,53
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,240385.39407409105,0.412683609709972,0.44190476954487634,0.9338745316892605,0.35460392451061473,0.8757503840526932,0,53
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae*Succinivibrio,99.98511859411227,-1.6965532964212917,0.6929292698548047,-2.4483787454624117,0.017693126371176097,0.21868704194773655,0,53
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,112274.45299526524,-0.24867713897659016,0.32250716901127974,-0.771074763202838,0.4440867008313967,0.8757503840526932,0,53
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,18982.934335143596,-0.7911493107346005,0.4814326824831966,-1.6433228144252834,0.1062363688334876,0.6312891917220705,0,53
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,697.1988299913875,-0.7561487533467725,1.253443191220041,-0.6032572984905473,0.5489105919290027,0.8757503840526932,0,53
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,11106.233872970264,-1.2810400717292967,0.8898171514975864,-1.4396666433921526,0.15584243913944001,0.6782438548462952,0,53
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae*Fusobacterium,27.387147672601238,0.9607244434588479,0.5013571208885934,1.9162477272808707,0.060733520214681404,0.5506073197920291,0,53
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,282.72227899241716,-0.4039958165973106,0.8830507860619115,-0.4575000928304322,0.6491816207804211,0.8757503840526932,0,53
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,251.46889661875096,1.3921298293684312,1.4019626141835386,0.9929864143910615,0.32522857740500555,0.8757503840526932,0,53
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,268.5988022439849,-0.12571256049524687,0.7665069788079669,-0.16400706578138236,0.8703494378633384,0.9055150717164027,0,53
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,80957.94775680214,-0.5630367554501053,0.4772258217721332,-1.1798120088291144,0.24334363224407377,0.8262987072903164,0,53
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,19859.40259876188,0.12177571097854004,0.5812131196189598,0.20951989359492698,0.8348456991796229,0.8864856393350635,0,53
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,25396.393741249452,-0.7140437428699873,0.6880175257094137,-1.0378278404081902,0.3040620478257577,0.8757503840526932,0,53
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Alloprevotella,115.48326038855078,-0.7630341404748028,1.0458725469925498,-0.7295670420539666,0.468867083108671,0.8757503840526932,0,53
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,79506.90663810684,-2.0243677861066525,0.7296044276129542,-2.774610061961622,0.007616595322953252,0.11767639773962774,1,53
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,6378.293045653017,-0.6642805759760434,0.739755599713594,-0.8979730281639345,0.37326124986181886,0.8757503840526932,0,53
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,48.20817697626301,1.2495366244536406,0.6826219900559871,1.8304957101530765,0.07280096503726954,0.5594447519804548,0,53
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,59513.50666632483,-1.1436545357279295,0.7433643572922485,-1.5384844921725374,0.1298796201576497,0.6564880566898603,0,53
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,38004.036177330454,-2.5731862612716445,0.7462952193002221,-3.447946864358104,0.0011145278043486432,0.049901890125245825,1,53
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Megasphaera,72.26991916691193,0.07625640645161283,0.9943924197799353,0.0766864317695511,0.9391617597459065,0.9546084992154116,0,53
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelotrichaceae_UCG-003,5806.090154522821,-1.4227636015319287,0.983232691726553,-1.4470263382247401,0.1537786127828705,0.6782438548462952,0,53
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Coprococcus,34441.04553775268,-3.006282931457803,0.7361701264514593,-4.083679605350065,0.00015047874109539588,0.04649793099847733,1,53
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,7423.574986673676,-2.8636317298085485,0.8288730761974229,-3.454849496313573,0.001091536704534597,0.049901890125245825,1,53
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,28280.1161006736,-0.63692719382034,0.5274574405677381,-1.207542343387501,0.2325846083579584,0.8075128537371814,0,53
