Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,0.0,-0.277,0.574,0.153,0.3378,377.42310738804827,0.43199379961114914
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.0,-0.237,0.169,0.054,0.23386666666666667,7558.037601097675,0.4319937996111489
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae*Succinivibrio,-0.679404053001759,-1.612,0.243,0.529,0.7258,14.672321179280736,-0.5481790584143517
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,-0.36409960358050014,-0.618,0.007,0.201,0.8302666666666667,2510.575416171411,-0.09329089286407641
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,0.0,-0.769,0.019,0.25,0.5804666666666667,913.5762649818003,0.4319937996111489
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,0.0,-0.933,0.448,0.276,0.4719333333333333,161.9628290997832,0.43199379961114864
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,-0.5148530495048409,-0.956,0.013,0.311,0.8059333333333333,410.5566038499248,-0.3107821416960449
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae*Fusobacterium,0.6697676985421542,-0.311,1.727,0.563,0.7248,30.973579207177675,1.3982643368455288
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,0.0,-0.752,0.336,0.202,0.39713333333333334,141.93466681917448,0.4319937996111489
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,0.0,-0.274,1.01,0.284,0.488,98.72782868263192,0.43199379961114864
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,0.0,-0.542,0.524,0.17,0.3706,144.65720772472878,0.43199379961114864
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,-0.48306387620237595,-0.839,-0.147,0.219,0.9191333333333334,1701.5637883208572,-0.26492005901861904
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,0.0,-0.517,0.218,0.126,0.31333333333333335,1021.8468015622094,0.4319937996111489
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,0.0,-0.792,0.027,0.255,0.5485333333333333,1056.1303127766248,0.43199379961114914
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Alloprevotella,0.0,-1.421,0.404,0.465,0.6035333333333334,42.2822281259765,0.43199379961114914
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,-1.0929019724053195,-1.459,-0.74,0.188,1.0,920.0839229660841,-1.144730456155772
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,0.0,-0.756,0.105,0.223,0.47013333333333335,530.2596853478628,0.4319937996111489
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,0.5216511735331637,-0.162,1.384,0.423,0.661,85.11625538486219,1.1845773607413521
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,-0.7183227850620395,-1.072,-0.37,0.197,0.9917333333333334,1071.7456791020136,-0.6043269201554043
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,-1.086072961166942,-1.52,-0.663,0.225,1.0,519.2024570401398,-1.1348782755079898
