,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.30008049376384877,0.11780308669841916,2.5473058658646814,0.010855823638933879,0.17369317822294206,1,0,0,True
Bacteria*Firmicutes*Clostridia*Lachnospirales,0.039194854004837555,0.10109655138957375,0.38769724056957083,0.698240098090219,0.9940067408987902,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,-0.19617171545857734,0.24243877522314963,-0.8091598189192865,0.41842322385701236,0.9940067408987902,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.22936139343440992,0.10326468113155791,-2.2211020352854853,0.0263440512271321,0.28100321308940907,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,-1.0070209189009476,0.3718634648366137,-2.7080394126468006,0.006768198428992679,0.1443882331518438,1,0,0,True
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.31298792922724233,0.2758625043065166,1.1345794529562991,0.2565515662086351,0.9456157210226452,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,-0.2752738461796183,0.4120193643364014,-0.6681090016799927,0.5040640162227896,0.9940067408987902,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,0.28731746097485145,0.1856680427071059,1.5474793442407264,0.1217477015376792,0.6493210748676224,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.44905351879871597,0.3171048729452052,1.4161041255153186,0.156745020400816,0.7165486646894446,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.08919542831367898,0.38270775340669805,0.23306407440063612,0.8157116512340135,0.9940067408987902,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,-0.4116036229525346,0.27796006219256053,-1.4808013054313922,0.13865952857456515,0.6826315252901669,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,0.24986972274109323,0.27156573754167135,0.9201076873799335,0.3575164875419953,0.9940067408987902,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,-0.5573398411140573,0.17864797869383733,-3.119765726928336,0.001809949274610296,0.05791837678752947,1,0,0,True
Bacteria*Firmicutes*Clostridia*Christensenellales,-0.6499150323750975,0.2860805989280641,-2.2717899599284634,0.023099199560482727,0.28100321308940907,0,0,0,False
Bacteria*Firmicutes*Bacilli*RF39,-0.6873001309042477,0.34811980187036473,-1.974320699976123,0.048345288618299356,0.44201406736730836,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,-0.051548626140898196,0.3535617906875924,-0.14579806839604628,0.8840808008068718,0.9940067408987902,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,0.035761106861873004,0.2829586596358273,0.12638279707678207,0.8994289189019078,0.9940067408987902,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,0.10818675831539368,0.1874870150532533,0.5770360058517365,0.5639151326965208,0.9940067408987902,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,-0.1719792312935342,0.3537310196860661,-0.4861864572865694,0.6268349723412389,0.9940067408987902,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,0.268050702158678,0.3054533362711605,0.8775504154936483,0.3801877479021587,0.9940067408987902,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales,-0.3383506470945922,0.2596822270510852,-1.302941102041732,0.1925948701926518,0.8217381128219811,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,-0.15393022177161172,0.1402137111570968,-1.0978257440112031,0.27228058770909025,0.9456157210226452,0,0,0,False
Archaea*Euryarchaeota*Methanobacteria*Methanobacteriales,-0.4850830583689773,0.2877556669622839,-1.6857463260056564,0.0918446698840419,0.5474703161841151,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,-0.11580166313967712,0.2065092420735188,-0.5607577751820467,0.574962675331254,0.9940067408987902,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales,-0.23561248070694962,0.21842633551584315,-1.078681653247165,0.2807296671785978,0.9456157210226452,0,0,0,False
Bacteria*Firmicutes*Bacilli*Acholeplasmatales,-0.38776613584342556,0.2038429549264623,-1.9022788203954109,0.057134713057035484,0.4570777044562839,0,0,0,False
Bacteria*Elusimicrobiota*Elusimicrobia*Elusimicrobiales,-0.1297575673755003,0.12795009409665717,-1.0141263927283843,0.31052244575589705,0.9463541203989243,0,0,0,False
Bacteria*Firmicutes*Bacilli*Izemoplasmatales,-0.2572921030920385,0.20959828181963983,-1.2275487225293162,0.21961642106149454,0.8784656842459782,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria*Victivallales,-0.010409146425866078,0.22242661548851814,-0.046798115427887754,0.9626741310603,0.9940067408987902,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,-0.07728377238771435,0.22878911166254234,-0.337794800749547,0.7355178282326903,0.9940067408987902,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptococcales,-0.23242908629464776,0.22324707806461808,-1.0411293545681792,0.29781551741838413,0.9463541203989243,0,0,0,False
Bacteria*Synergistota*Synergistia*Synergistales,-0.08950701537975178,0.15733159173421876,-0.5689068189874831,0.5694193775162166,0.9940067408987902,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Opitutales,-0.041195839459662056,0.15901544936730747,-0.259068157361895,0.7955826529900945,0.9940067408987902,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_or,-0.013967914423974503,0.11888511477787916,-0.11749086039973693,0.906471086227495,0.9940067408987902,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia*Chloroplast,-0.0745634613104967,0.10884128740048081,-0.6850659624793018,0.4933022976921268,0.9940067408987902,0,0,0,False
Bacteria*Spirochaetota*Spirochaetia*Spirochaetales,0.03315660519795201,0.0696805095449984,0.47583758233771356,0.6341900929270019,0.9940067408987902,0,0,0,False
Bacteria*Firmicutes*Clostridia*Eubacteriales,0.0240591697353492,0.12453652707400305,0.19318966331101056,0.8468104337319792,0.9940067408987902,0,0,0,False
Archaea*Thermoplasmatota*Thermoplasmata*Methanomassiliicoccales,0.15129885978619229,0.08353467112088563,1.8112103364511125,0.07010829878107139,0.49854790244317426,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,0.03871085033310544,0.1373471265616577,0.2818468161816797,0.7780609713606099,0.9940067408987902,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,0.4555299556148515,0.13059189551648637,3.488194683240078,0.00048629385607302746,0.031122806788673758,1,0,0,True
Bacteria*Verrucomicrobiota*Kiritimatiellae*WCHB1-41,-0.06002862796687067,0.07921747265105197,-0.7577700469098911,0.44858865680909243,0.9940067408987902,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales,0.0014099321656515585,0.13069559165367342,0.010787909123880002,0.991392660819266,0.9940067408987902,0,0,0,False
Bacteria*Campilobacterota*Campylobacteria*Campylobacterales,0.053723959476044345,0.07708277045680206,0.6969645636459288,0.4858249707875625,0.9940067408987902,0,0,0,False
Bacteria*Firmicutes*Bacilli*Staphylococcales,0.026659979215082712,0.10448810233783351,0.25514846780243944,0.7986084307342977,0.9940067408987902,0,0,0,False
Bacteria*Firmicutes*Incertae_Sedis*DTU014,-0.023346354645107054,0.09294686085273149,-0.2511795926287161,0.8016752616180067,0.9940067408987902,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Pedosphaerales,0.012511557034329178,0.05980577721695886,0.20920315087521899,0.8342896528055568,0.9940067408987902,0,0,0,False
Bacteria*Firmicutes*Bacilli*Mycoplasmatales,0.015391401285962999,0.06474260814669953,0.2377321786463684,0.8120888241014474,0.9940067408987902,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales,0.048127649578754095,0.07287183939539682,0.6604423598753599,0.5089699962430622,0.9940067408987902,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Sphingobacteriales,0.11748862194620065,0.07017707886035847,1.6741737309981914,0.09409646059414478,0.5474703161841151,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,0.024801598814349412,0.07253684840454064,0.34191723737472013,0.7324131770560267,0.9940067408987902,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales,-0.0005376946439783056,0.0715827921417305,-0.007511506996174388,0.9940067408987902,0.9940067408987902,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria*Oligosphaerales,-0.006598923048444032,0.05873404047429611,-0.11235261519819893,0.9105438249567586,0.9940067408987902,0,0,0,False
Bacteria*Firmicutes*Syntrophomonadia*Syntrophomonadales,0.010760886739374278,0.05937699205216567,0.18122990686224552,0.8561871209829953,0.9940067408987902,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Vibrionales,-0.024840935235200624,0.06379167103144054,-0.38940718801608837,0.6969749555835676,0.9940067408987902,0,0,0,False
Bacteria*Firmicutes*Clostridia*Caldicoprobacterales,0.0020809818454650885,0.059321895112830425,0.03507949032152555,0.9720163556978124,0.9940067408987902,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Acetobacterales,0.002080981845465071,0.05945189993313793,0.03500278120304699,0.9720775231543893,0.9940067408987902,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales,0.008215027691128408,0.059658946801162675,0.1376998443922967,0.8904776423856265,0.9940067408987902,0,0,0,False
