,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,412113.9373740205,0.2524468654347902,0.16334681017115402,1.5454655353861981,0.12401975402010357,0.5291509504857752,0,177
Bacteria*Firmicutes*Clostridia*Lachnospirales,303857.1615919382,-0.12395174411071277,0.14462771289294352,-0.8570400625948118,0.3925816310029232,0.928728946600887,0,177
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,32.16335572915018,-0.3971162977269106,0.3712711554975128,-1.0696125778873522,0.28625020015070735,0.8367120847288696,0,177
Bacteria*Firmicutes*Clostridia*Oscillospirales,215961.891596624,-0.5126204583782801,0.15832684581158646,-3.2377355574197018,0.0014385972265131618,0.030690074165614117,1,177
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,2753.096584931008,-1.7984598229324886,0.6176984658013066,-2.911549764980304,0.00405926117909336,0.06494817886549376,1,177
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,119.18172877953545,0.4659093354145146,0.4904455829814941,0.9499715189240366,0.3434220336016167,0.928728946600887,0,177
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,376.72788785127443,-0.5364760378305811,0.6615593622649061,-0.8109265296978168,0.4184969164551291,0.928728946600887,0,177
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,25.513045494105455,0.4142951450085298,0.36641419107070894,1.1306743982756418,0.2597219030929043,0.8311100898972938,0,177
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,339.0062266776317,0.6303701094044208,0.5085314849005603,1.2395891466340283,0.2167684025078193,0.7707320978055797,0,177
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,4841.0215088825225,-0.06411057056157467,0.574471733734332,-0.11159917328712816,0.9112676799937842,0.928728946600887,0,177
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,4759.477697272231,-0.8832478477549871,0.464506032451708,-1.9014776688541999,0.058864036072954116,0.31394152572242195,0,177
Bacteria*Firmicutes*Bacilli*Lactobacillales,1507.6253337114435,0.20902129055565058,0.4127831595993405,0.5063706832384655,0.6132266019973366,0.928728946600887,0,177
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,20889.23827715346,-0.9895659060990016,0.2523447054798313,-3.921484717570557,0.00012571023255769604,0.008045454883692547,1,177
Bacteria*Firmicutes*Clostridia*Christensenellales,5152.171038559835,-1.196835944749092,0.45977408683522275,-2.6030956920328197,0.010022341354633762,0.12828596933931216,1,177
Bacteria*Firmicutes*Bacilli*RF39,322.71361541484055,-1.2524639741945978,0.5653606561300902,-2.2153362824497718,0.028012726997342773,0.22410181597874218,0,177
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,387.5464339104766,-0.21284651681983513,0.6003018890513966,-0.3545657954802998,0.7233369824801742,0.928728946600887,0,177
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,213.56033206243114,-0.06137312306177904,0.46518593002050246,-0.13193245775742637,0.8951875667229909,0.928728946600887,0,177
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,6631.605349073899,-0.09399879681476805,0.3186287080393487,-0.29501044458040415,0.7683316473312325,0.928728946600887,0,177
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,2663.559773679722,-0.5125491882499127,0.5981777889937283,-0.856850919042209,0.3926858833250495,0.928728946600887,0,177
Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,97.11845129586239,0.3978729117389116,0.5399459667804147,0.736875421278438,0.46217370770826804,0.928728946600887,0,177
Bacteria*Firmicutes*Clostridia*Clostridiales,1985.4330103743052,-0.737073923105049,0.40859080904674433,-1.8039415150445173,0.0729408099491378,0.35909321821114,0,177
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,8685.550166513565,-0.41086889454804987,0.20853832225314722,-1.9702320902404262,0.05037152464646559,0.2930706888521634,0,177
Archaea*Euryarchaeota*Methanobacteria*Methanobacteriales,193.60463831828153,-0.9408456055250447,0.4597233094971647,-2.0465475343291186,0.04218126676765808,0.2714284114800337,0,177
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,2880.9509752853924,-0.37752223472207624,0.3335623365087978,-1.1317891542354004,0.2592541014633052,0.8311100898972938,0,177
