,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,373535.13023959944,0.12122954519026102,0.2977479966878545,0.4071548643108171,0.6848400193037943,0.9918042867134296,0,92
Bacteria*Firmicutes*Clostridia*Lachnospirales,341075.6376473684,-0.6516850652549422,0.27161272411988263,-2.399317143063245,0.01844185364034424,0.19840313335818432,1,92
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,54.50787985480505,-1.632740497814693,0.6183693770850476,-2.6403967568887774,0.009728376332659067,0.17413788580147682,1,92
Bacteria*Firmicutes*Clostridia*Oscillospirales,209707.88558704578,-0.44950385438013396,0.18818535283425267,-2.3886229592801618,0.018954157335211448,0.19840313335818432,1,92
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,7903.714840605689,-3.301035042114396,0.9726047878277009,-3.3940147976108688,0.001017756254423393,0.06513640028309715,1,92
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,169.5245421963797,-0.28452948666623196,0.7129275723734189,-0.3991001297915862,0.6907443284723954,0.9918042867134296,0,92
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,362.54577063468776,-0.2561749929727271,1.1035760000389376,-0.23213171812696945,0.8169512912453702,0.9927211932790034,0,92
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,17.150664189207284,0.832341677995396,0.4490920970248869,1.8533874978193414,0.06703183808801394,0.28600250917552617,0,92
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,363.9630470940692,0.4030405946014179,0.8112617165902404,0.49680711706132363,0.6205101676008444,0.9918042867134296,0,92
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,2658.0510724512146,1.1448728296783142,0.8876521477133212,1.2897764429766982,0.2003611233707833,0.6293677290534945,0,92
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,3547.260669774561,-0.30741874576674877,0.6530823486597885,-0.4707197283736312,0.6389550396758144,0.9918042867134296,0,92
Bacteria*Firmicutes*Bacilli*Lactobacillales,1406.127621523611,0.1919180219016342,0.63595470192888,0.3017793898205925,0.7635013546878708,0.9927211932790034,0,92
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,19572.29571419502,-1.0777914481247652,0.3874310735933507,-2.7818921134240764,0.006556553545193121,0.17413788580147682,1,92
Bacteria*Firmicutes*Clostridia*Christensenellales,6731.372106187802,-1.418490508784121,0.6604978967026861,-2.147607911948635,0.03437326885816332,0.2685531748209067,0,92
Bacteria*Firmicutes*Bacilli*RF39,228.94805265030078,-1.0927356615394752,0.8589396504979179,-1.272191429172036,0.20651128609567787,0.6293677290534945,0,92
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,527.2676890319184,-0.8936974218374516,1.027448405984349,-0.8698221892526496,0.3866613639133619,0.9898530916182066,0,92
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,356.2763760192602,-0.5740355882526016,0.7239956294445828,-0.7928716209143087,0.4298925836990043,0.9918042867134296,0,92
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,5054.8693149548535,-0.06130189427130189,0.6548148083789271,-0.09361714714892003,0.9256168666302236,0.9927211932790034,0,92
