Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,-0.5569720109732378,-0.777,-0.337,0.116,1.0,17401.862285091585,0.20422108609200912
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales,-1.0501619959129154,-1.281,-0.834,0.12,1.0,9721.959992198277,-0.507301659396566
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,-0.9725058279991589,-1.92,0.026,0.614,0.8058666666666666,14.052477156757385,-0.39526749105294917
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.8863741905456866,-1.139,-0.652,0.13,1.0,7136.161657364597,-0.271005804835178
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,-1.306302985005204,-1.751,-0.859,0.239,1.0,330.9613275392375,-0.8768349941284046
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.0,-0.611,0.294,0.148,0.32886666666666664,232.13161534449532,1.0077618442370526
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,0.0,-0.756,0.281,0.23,0.4794,247.72134815975832,1.0077618442370528
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,0.7069017134599693,-0.26,1.887,0.582,0.6245333333333334,72.69017505888615,2.0276054406416613
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.0,-0.489,0.389,0.139,0.371,331.7244048544065,1.0077618442370528
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.0,-0.302,0.458,0.131,0.3904666666666667,794.1755387232206,1.0077618442370526
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,0.0,-0.709,0.121,0.222,0.4772,775.3422294947694,1.0077618442370528
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales,0.0,-0.531,0.285,0.137,0.35,588.9283434833228,1.0077618442370526
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales,-0.7383503334700467,-1.107,-0.386,0.198,0.9986666666666667,1073.7947887206788,-0.05745252029889651
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales,-0.6422402646897776,-1.039,-0.192,0.248,0.9688666666666667,605.505867713788,0.08120499930989512
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*RF39,-0.39760589402851815,-1.056,0.162,0.325,0.6517333333333334,131.8544449361704,0.43413779269388675
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,0.0,-0.918,0.137,0.284,0.5658666666666666,283.5261952379422,1.0077618442370526
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,0.0,-0.805,0.059,0.247,0.5672,315.5460147224989,1.0077618442370526
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,0.0,0.0,0.0,0.0,0.0,813.4663150197633,1.0077618442370528
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Acidaminococcales,-0.8954631790319619,-1.336,-0.462,0.232,0.9999333333333333,398.15498510499026,-0.284118443451025
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,0.0,-0.9,0.301,0.254,0.40413333333333334,146.68750655933232,1.0077618442370526
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridiales,-0.590067388908634,-0.998,-0.144,0.241,0.9811333333333333,422.5201463880008,0.1564745484682669
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,-0.5654407979665453,-0.96,-0.185,0.249,0.9222,880.8291857497769,0.19200320909441987
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Euryarchaeota*Methanobacteria*Methanobacteriales,-0.5558884503879612,-1.096,0.057,0.373,0.6512,120.47184424849358,0.2057843335748911
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,-0.4273429019301507,-0.807,0.02,0.268,0.7555333333333333,504.6986994156379,0.3912363588633256
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Monoglobales,-0.4097032241864208,-0.834,0.02,0.271,0.7494666666666666,443.9008799443748,0.4166850344670846
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Acholeplasmatales,0.0,-0.784,1.126,0.372,0.5699333333333333,25.7724094443363,1.0077618442370526
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Elusimicrobiota*Elusimicrobia*Elusimicrobiales,-0.5479812148192135,-1.734,0.638,0.573,0.643,5.442961485774887,0.21719206311706415
