,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.35389744701443554,0.14247227604994991,2.483974123431293,0.012992524877000318,0.08315215921280204,1,0,0,True
Bacteria*Firmicutes*Clostridia*Lachnospirales,0.10107955838098864,0.11786437059352137,0.8575921448694748,0.3911177140434525,0.8074688289929343,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,-0.212593410247801,0.26560686769544234,-0.80040630007945,0.4234754320250861,0.8469508640501722,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.4244265024471742,0.16083517424265334,-2.63889105381164,0.008317770674846299,0.06665399541880276,1,0,0,True
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,-1.534023152943195,0.4504817713356052,-3.4052946213452007,0.0006609270676804762,0.02309144948122851,1,0,0,True
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.35590937958167296,0.34655982542534886,1.0269781823234962,0.304430737665114,0.6954159716251574,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,-1.0223640991199763,0.46924977460699857,-2.1787204905451825,0.029352438613885052,0.17077782466260394,1,0,0,True
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,0.3874232829421207,0.3051014277666304,1.2698179938982705,0.20414946961364505,0.5443985856363868,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.4060702128650764,0.3656777198123906,1.1104592674484215,0.26680117108838175,0.6717725732475576,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.57272503627902,0.4242662930970734,1.3499187788363352,0.17704203734412532,0.5169240397527165,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,-0.6158173983181249,0.3601651443194799,-1.709819531486567,0.08729925012243443,0.4092968633495755,0,0,0,False
