,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,412044.4749329605,0.3151559840981827,0.18492587404843588,1.704228711746615,0.09097021490471043,0.32344965299452594,0,118
Bacteria*Firmicutes*Clostridia*Lachnospirales,303805.9459977472,-0.04960637625821357,0.16673729861363965,-0.29751217436454025,0.766598655954049,0.8920420723828933,0,118
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,33.14966673893317,-0.43103235075848645,0.449444087000872,-0.9590344232466232,0.3395023233169515,0.742615341667527,0,118
Bacteria*Firmicutes*Clostridia*Oscillospirales,215925.49088603127,-0.8103177766181608,0.20659069349345488,-3.9223343651916878,0.00014774602589247383,0.009424496006577384,1,118
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,2752.6325462467553,-2.6862468163185036,0.7329784776928201,-3.6648372333849997,0.0003722022702116577,0.009424496006577384,1,118
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,134.66244986113256,0.46789568883811683,0.5602895926568685,0.8350961627171695,0.4053511882796653,0.8368540661257606,0,118
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,376.6643897835511,-1.82694886818576,0.773453483112393,-2.3620668961681823,0.019810566336787305,0.12678762455543877,1,118
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,26.25341791201955,0.4997368446791901,0.46341453829451895,1.078379729989366,0.2830638190977737,0.6967724777791352,0,118
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,338.9490866541968,0.5643645685512458,0.5990928471476057,0.9420318924492126,0.34810094140665326,0.742615341667527,0,118
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,4840.205547225481,0.6648337458131266,0.6456642707024429,1.0296895398746913,0.3052617473148636,0.7235834010426396,0,118
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,4758.675479950667,-1.2473331094336726,0.5420760709621415,-2.3010296455620267,0.023145303260192877,0.13466358260475855,1,118
Bacteria*Firmicutes*Bacilli*Lactobacillales,1507.371221131436,-0.1520390802410216,0.4833714373324982,-0.3145388173534921,0.7536673075157861,0.8920420723828933,0,118
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,20885.717363757907,-1.0316801594946248,0.3090107429569762,-3.3386546681914755,0.0011269577174803243,0.015947329331037263,1,118
Bacteria*Firmicutes*Clostridia*Christensenellales,5151.302632168707,-1.9049394617347466,0.5268489812723426,-3.615722017976213,0.0004417732503083149,0.009424496006577384,1,118
Bacteria*Firmicutes*Bacilli*RF39,322.65922153621403,-2.1435677024894617,0.6690691289455688,-3.203806019069591,0.0017442391455822009,0.015947329331037263,1,118
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,392.88685097518004,-0.2884333946071026,0.7268419831965273,-0.3968309498835244,0.6922089162162336,0.8465159225879753,0,118
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,213.5243361384084,-0.8266727003042413,0.5124124644266892,-1.6132954557012211,0.10935155073190418,0.3428984480230514,0,118
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,6630.487581743287,-0.2529195473195993,0.3828061834490629,-0.6606986988580172,0.5100933676391497,0.8465159225879753,0,118
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,2757.8737573287044,-0.9317818352699825,0.6867600718446886,-1.3567792792134046,0.17744128286748703,0.4937496566747465,0,118
Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,99.24686986843261,0.35950735418297,0.6382671532829193,0.5632552957391718,0.5743297977581978,0.8465159225879753,0,118
