,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.5201112578374755,0.1775877642416353,2.928756156475874,0.0034032128713618708,0.05445140594178993,1,0,0,True
Bacteria*Firmicutes*Clostridia*Lachnospirales,0.039101091222412426,0.15849377617416624,0.24670426919127014,0.805137102338352,0.9826293351233663,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,-0.940988487497362,0.4823440593547888,-1.9508657134827831,0.05107302222055365,0.27238945184295277,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.10019317244506,0.1367120540840391,-0.7328773831711257,0.46363321858548406,0.9826293351233663,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,-2.198561290128278,0.566165516971758,-3.8832483155945168,0.00010307021288595984,0.00659649362470143,1,0,0,True
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.00889852194659129,0.4680496465071023,0.019011918955602204,0.9848315971772026,0.9848315971772026,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,-0.2026188417919877,0.7307694150473298,-0.27726781884934887,0.7815744680387614,0.9826293351233663,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,0.49347906352410587,0.2496434100288128,1.9767357907310694,0.048071502948366256,0.27238945184295277,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,-0.04855742068907216,0.5150069730521035,-0.09428497715536674,0.9248827832441013,0.9826293351233663,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,1.5383310498031935,0.6429900918273918,2.3924646263696276,0.016735641245778754,0.17851350662164003,1,0,0,True
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,-0.037227356532934054,0.4500996716069641,-0.08270913951130743,0.9340828174962269,0.9826293351233663,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,0.49241838535615035,0.4248054226916256,1.1591621929779514,0.2463900789471629,0.7884482526309213,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,-0.4494054267866317,0.3103703186322302,-1.447965220279809,0.14762677769678476,0.5713979891341846,0,0,0,False
