,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,373440.99417861144,0.30172439770765513,0.2516275222302264,1.1990913991975514,0.23582606297922384,0.6562116535074055,0,53
Bacteria*Firmicutes*Clostridia*Lachnospirales,340989.6818310943,-0.3922638198800215,0.2390442163458588,-1.640967624635931,0.10672612857567741,0.33128352333758654,0,53
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,60.59326786640137,-1.6428345128445414,0.6829708158772565,-2.405424177216661,0.019676470428142606,0.13910882731415036,1,53
Bacteria*Firmicutes*Clostridia*Oscillospirales,209655.03627594045,-0.5932821037808998,0.21363931968104916,-2.777026741456745,0.007567451740863599,0.11088424421177252,1,53
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,7901.722994265071,-4.032970306900654,0.9986635744971281,-4.03836728392886,0.00017444974474882811,0.0055823918319625,1,53
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,184.62652235500954,-0.3334295740105175,0.7997554004871456,-0.4169144388489524,0.6784248400724628,0.9616050087917701,0,53
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,399.08988774194734,-0.6641059817594271,1.197290885653862,-0.55467388060567,0.5814510629202289,0.9616050087917701,0,53
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,18.07996936505873,0.8804966447504388,0.48902703850363466,1.800507079209066,0.07747217454398614,0.2823478584116276,0,53
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,363.8713233314975,-0.35454239793923137,0.8337013816211846,-0.4252630567191834,0.672366682883756,0.9616050087917701,0,53
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,2682.215705637492,1.895828188918809,0.9869171897223468,1.920959740758158,0.06012296253064725,0.240491850122589,0,53
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,3546.3667106266394,-0.5630102393247202,0.746349385059037,-0.7543521179161761,0.4539765788699225,0.9372419692798399,0,53
Bacteria*Firmicutes*Bacilli*Lactobacillales,1405.7732577574743,0.2944814512556134,0.6228472919673236,0.47279879844297823,0.6382980571407025,0.9616050087917701,0,53
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,19567.36322278025,-1.1003006202840397,0.45196567690861167,-2.4344782723545677,0.018314308282510933,0.13910882731415036,1,53
Bacteria*Firmicutes*Clostridia*Christensenellales,6729.675706562119,-2.7544274066193415,0.6804495015926418,-4.047952713864001,0.0001690893589245834,0.0055823918319625,1,53
