Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,-0.4013324243787654,-0.655,-0.163,0.14,0.9835333333333334,17696.53320614995,0.3179414033605474
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales,-0.8435400897455407,-1.125,-0.598,0.142,1.0,10351.806970242755,-0.32002940250718526
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,-0.8820513349801046,-1.97,0.139,0.623,0.8208666666666666,17.45114259480909,-0.37558938502554906
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.9277790064230647,-1.22,-0.624,0.166,1.0,5965.078253811772,-0.44156046984770786
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,-1.5632114477050378,-2.14,-1.046,0.291,1.0,222.57074630581715,-1.3582957017051778
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.0,-0.784,0.305,0.215,0.42206666666666665,191.80063241323845,0.8969417017597376
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,0.0,-0.889,0.254,0.286,0.49373333333333336,208.60790966344382,0.8969417017597379
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,0.0,-0.557,1.666,0.535,0.5591333333333334,25.215438849935254,0.8969417017597375
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.0,-0.685,0.413,0.181,0.34726666666666667,264.39824220060063,0.8969417017597373
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.0,-0.095,0.807,0.273,0.536,709.4261896571674,0.8969417017597375
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,-0.387062166010917,-0.866,0.034,0.278,0.6472,467.0303728079077,0.33852903434004716
