,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota,0.2961567300539414,0.14182588711067504,2.0881711800810594,0.036782396034668895,0.5517359405200334,0,0,0,False
Bacteria*Firmicutes,-0.05671292141920732,0.10972019199732855,-0.5168868226241179,0.6052351668691698,0.7546598017165874,0,0,0,False
Bacteria*Proteobacteria,0.22659440943900958,0.20005076096065774,1.1326845664114817,0.2573467411704834,0.7546598017165874,0,0,0,False
Bacteria*Verrucomicrobiota,-0.2883496817803209,0.3774752736921415,-0.7638902515651687,0.4449326472491243,0.7546598017165874,0,0,0,False
Bacteria*Fusobacteriota,0.2832964910214947,0.20078902735198442,1.4109161977505582,0.15826932548069444,0.6777257951916833,0,0,0,False
Bacteria*Actinobacteriota,-0.20413706966116577,0.24146924243273113,-0.8453957431784902,0.397889920426,0.7546598017165874,0,0,0,False
Bacteria*Cyanobacteria,0.2090865235541224,0.3079007236316366,0.6790712314280475,0.497092729652874,0.7546598017165874,0,0,0,False
Archaea*Euryarchaeota,-0.48910402832233413,0.29522611679388105,-1.656709892857526,0.0975781419420286,0.6777257951916833,0,0,0,False
Bacteria*Desulfobacterota,-0.1197579536090215,0.21362339805615793,-0.5606031675310174,0.5750680917052783,0.7546598017165874,0,0,0,False
Bacteria*Elusimicrobiota,-0.13377853732885742,0.1493321610789753,-0.8958454519258431,0.3703353108299695,0.7546598017165874,0,0,0,False
Bacteria*Synergistota,-0.09352798533310888,0.16984302235881196,-0.5506731099940083,0.5818577811876033,0.7546598017165874,0,0,0,False
Bacteria*Spirochaetota,0.029135635244595,0.10306495790973844,0.2826919627727517,0.7774129778325652,0.832942476249177,0,0,0,False
Archaea*Thermoplasmatota,0.14727788983283532,0.1100303722634803,1.3385203267345274,0.1807268787177822,0.6777257951916833,0,0,0,False
Bacteria*Campilobacterota,0.04970298952268733,0.11090482706445633,0.4481589380577696,0.6540384948210425,0.7546598017165874,0,0,0,False
Bacteria*Bdellovibrionota,-0.010619893001800983,0.09632903937448557,-0.11024601792731929,0.9122142676443921,0.9122142676443921,0,0,0,False
