,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota,365948.39969455573,0.10875709146271181,0.17476844967608965,0.6222924770705398,0.5345503882210558,0.728932347574167,0,177
Bacteria*Firmicutes,610957.117612422,-0.4003583557746448,0.13532579644156212,-2.958477735230119,0.0035144556951681102,0.052716835427521654,1,177
Bacteria*Proteobacteria,13289.307523168573,0.007425426750419656,0.2563626554614903,0.028964541411278494,0.9769255027746729,0.9769255027746729,0,177
Bacteria*Verrucomicrobiota,790.0174701154551,-0.7742902591518754,0.5670820190699134,-1.3653937757042798,0.17386208491276056,0.4346552122819014,0,177
Bacteria*Fusobacteriota,22.726688973803416,0.2699928007003971,0.35748229579356045,0.755262019622681,0.45109561375083707,0.6766434206262556,0,177
Bacteria*Actinobacteriota,6044.333358583431,-0.6191734659168787,0.3310633715106405,-1.8702566312050568,0.0630992143021759,0.25381682618087203,0,177
Bacteria*Cyanobacteria,109.9272305058192,0.14140019057540784,0.5092753512416879,0.27764978263851464,0.7816052456659213,0.9018522065376013,0,177
Archaea*Euryarchaeota,171.8553703417336,-1.0841944012429396,0.44320339022044847,-2.4462682938947364,0.015412115149565815,0.11559086362174362,1,177
Bacteria*Desulfobacterota,2556.675318633937,-0.5212712636194912,0.31473238575440016,-1.6562364955548698,0.09944564300436322,0.29833692901308967,0,177
Bacteria*Elusimicrobiota,17.87859552663058,-0.3216593667072256,0.17497028000397086,-1.8383657310254389,0.06768448698156587,0.25381682618087203,0,177
Bacteria*Synergistota,29.21955929675677,-0.3095486508385259,0.25813427511931486,-1.199176865201052,0.2320620717830794,0.4936477958481514,0,177
Bacteria*Spirochaetota,15.028556897350349,-0.05243837340821075,0.1349904127368129,-0.38845998278743255,0.6981425094799327,0.8726781368499159,0,177
Archaea*Thermoplasmatota,15.616696844593298,0.1778917989490221,0.16001918601230422,1.1116904377662788,0.26777899455828236,0.4936477958481514,0,177
Bacteria*Campilobacterota,16.86776723690466,-0.022327226123973504,0.1699839549793267,-0.13134902130432793,0.8956483918248602,0.9596232769552073,0,177
Bacteria*Bdellovibrionota,15.028556897350349,-0.12134220557949806,0.11581368187265463,-1.0477363608293053,0.29618867750889083,0.4936477958481514,0,177
