,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota,345440.89258590335,0.14600859372575728,0.3136981004762728,0.465443027879606,0.642714149597734,0.9721732556994291,0,92
Bacteria*Firmicutes,632544.0924206227,-0.37365877172871387,0.2265626060455435,-1.6492517377452887,0.10250669131054588,0.4142600529946101,0,92
Bacteria*Proteobacteria,12881.822553464308,0.1907477848558551,0.420071831237969,0.45408373204581115,0.6508380147501462,0.9721732556994291,0,92
Bacteria*Verrucomicrobiota,1082.4351998836726,-0.8053443056301357,0.9099278367880166,-0.8850639282263815,0.3784295309940402,0.8109204235586576,0,92
Bacteria*Fusobacteriota,15.877883962533954,0.8583572324073893,0.43943944680525293,1.9533003662909416,0.053822496242461014,0.4036687218184576,0,92
Bacteria*Actinobacteriota,4441.9847621440595,-0.041190103905282466,0.5025118658584116,-0.08196842045693752,0.9348498941665188,0.9721732556994291,0,92
Bacteria*Cyanobacteria,152.12573375806957,-0.2209053025712609,0.9559728117390576,-0.2310790640263096,0.8177665104819652,0.9721732556994291,0,92
Archaea*Euryarchaeota,299.84111520887734,-1.5346355656013324,0.733742274975895,-2.091518531696635,0.0392373604941992,0.4036687218184576,0,92
Bacteria*Desulfobacterota,3036.5452370229336,-0.775151487187616,0.5181631776669514,-1.4959601928445856,0.1380866843315367,0.4142600529946101,0,92
Bacteria*Elusimicrobiota,19.704642303226194,-0.44728557868560437,0.3218879813329825,-1.3895690570158385,0.16801349509486369,0.42003373773715924,0,92
Bacteria*Synergistota,27.264952044712956,-0.019225943022070424,0.4111238605320691,-0.04676435708982824,0.9628024003885773,0.9721732556994291,0,92
Bacteria*Spirochaetota,13.757609965279164,-0.026886991151261697,0.19610125331656214,-0.13710769664413408,0.8912452774546035,0.9721732556994291,0,92
Archaea*Thermoplasmatota,13.757609965279164,0.4693700868797551,0.2991448455925072,1.569039526487872,0.12007190296790847,0.4142600529946101,0,92
Bacteria*Campilobacterota,16.140083785665595,0.05396360139808545,0.2783758367619235,0.19385160014529912,0.846719456262635,0.9721732556994291,0,92
Bacteria*Bdellovibrionota,13.757609965279173,-0.006787449769462134,0.1940504514051819,-0.034977758208301096,0.9721732556994291,0.9721732556994291,0,92
