Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota,0.0,-0.379,0.107,0.115,0.4165333333333333,17191.058658140955,0.3559439910847383
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes,-0.4756103834553025,-0.722,-0.262,0.125,1.0,17405.37418501936,-0.33021675052152477
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria,0.0,0.0,0.0,0.0,0.0,1572.0639961476772,0.3559439910847383
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota,-0.498767589343271,-0.916,-0.064,0.253,0.9142666666666667,280.7254352297114,-0.3636255366169418
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota,0.0,-0.66,0.515,0.21,0.4566,63.50665364231296,0.35594399108473807
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota,0.0,-0.541,0.074,0.167,0.5204666666666666,1106.7075133093101,0.35594399108473856
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria,0.0,-0.437,0.392,0.126,0.3449333333333333,210.4282378513222,0.3559439910847383
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Euryarchaeota,-0.502394968674734,-1.031,0.009,0.317,0.8204,131.72938617409835,-0.36885873878986647
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota,0.0,-0.609,0.042,0.198,0.5566666666666666,793.2549591882849,0.35594399108473856
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Elusimicrobiota,-0.2855361273761221,-1.465,0.626,0.482,0.5913333333333334,4.308580738187446,-0.05599756387543279
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Synergistota,0.0,-1.061,0.319,0.319,0.5424,52.93923160154991,0.35594399108473856
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota,0.0,-1.124,1.042,0.444,0.5613333333333334,0.4369854770115925,0.35594399108473856
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Thermoplasmatota,0.0,-0.935,0.911,0.349,0.5160666666666667,5.2864380478044,0.3559439910847383
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Campilobacterota,0.0,-0.901,0.614,0.275,0.4361333333333333,23.479898736102445,0.35594399108473807
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bdellovibrionota,0.0,-1.127,0.995,0.411,0.5373333333333333,0.24150736298057557,0.35594399108473856
