,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota,0.5079493065877179,0.21519695165133854,2.3603926667636808,0.01825560026013602,0.13691700195102016,1,0,0,True
Bacteria*Firmicutes,0.03594359553230086,0.1884232008061307,0.1907599243539194,0.8487136877764186,0.9196479321590509,0,0,0,False
Bacteria*Proteobacteria,0.25862200886904785,0.33938941439921394,0.7620214358390043,0.4460472105898644,0.9196479321590509,0,0,0,False
Bacteria*Verrucomicrobiota,-0.7019062295064991,0.653898493959216,-1.0734177184850304,0.2830837381723231,0.8058094499000178,0,0,0,False
Bacteria*Fusobacteriota,0.4812567257760141,0.28662138898629574,1.6790677327958399,0.09313884395810132,0.4656942197905066,0,0,0,False
Bacteria*Actinobacteriota,0.11139677358224145,0.4128281497854209,0.26983812426585513,0.7872847914263019,0.9196479321590509,0,0,0,False
Bacteria*Cyanobacteria,0.22787473172006378,0.6533176258899286,0.3487962404345972,0.727242286079112,0.9196479321590509,0,0,0,False
Archaea*Euryarchaeota,-1.41716015895657,0.5110246728110688,-2.773173653555685,0.005551248885548466,0.083268733283227,1,0,0,True
Bacteria*Desulfobacterota,-0.553940850814669,0.3886501166172219,-1.4252944412731017,0.15407210630476545,0.5777703986428704,0,0,0,False
Bacteria*Elusimicrobiota,-0.29538377372424496,0.29845974341816883,-0.9896938539895005,0.3223237799600071,0.8058094499000178,0,0,0,False
Bacteria*Synergistota,-0.0719256413372412,0.272595415736682,-0.263854918993645,0.7918917143334656,0.9196479321590509,0,0,0,False
Bacteria*Spirochaetota,-0.015521092561265114,0.15386123476080657,-0.1008772130640592,0.9196479321590509,0.9196479321590509,0,0,0,False
Archaea*Thermoplasmatota,0.052163520211677146,0.17323717376538433,0.301110431888726,0.7633302864780386,0.9196479321590509,0,0,0,False
Bacteria*Campilobacterota,0.033562166712536916,0.18175255550410926,0.18465856845560613,0.8534968448072923,0.9196479321590509,0,0,0,False
Bacteria*Bdellovibrionota,-0.015521092561265114,0.15386123476080657,-0.1008772130640592,0.9196479321590509,0.9196479321590509,0,0,0,False
