,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota,345408.0761186162,0.30497484781570544,0.2691741615700525,1.1330019420765831,0.2623129507728041,0.5620991802274373,0,53
Bacteria*Firmicutes,632484.0014963506,-0.37601176979045414,0.2431908527738517,-1.5461591811601378,0.1280169501292345,0.3840508503877035,0,53
Bacteria*Proteobacteria,12880.59879589101,-0.05601734386848112,0.4670079561471771,-0.11994944225495659,0.9049767453463422,0.9668205864699742,0,53
Bacteria*Verrucomicrobiota,1150.8946107258591,-1.5631465536509166,1.006217878907901,-1.5534871586136776,0.12625842406373042,0.3840508503877035,0,53
Bacteria*Fusobacteriota,16.743769154199224,0.8827325577671794,0.48940222781006987,1.8036954218969259,0.07696389332104811,0.3840508503877035,0,53
Bacteria*Actinobacteriota,4441.562778960344,-0.2852156898649139,0.597650380997627,-0.47722832434042467,0.6351616426614437,0.9527424639921656,0,53
Bacteria*Cyanobacteria,163.87243874335257,0.19729727138825776,1.06798777423383,0.18473738758835326,0.8541401158948992,0.9668205864699742,0,53
Archaea*Euryarchaeota,299.8126306653281,-2.5535738678716995,0.77705099739135,-3.286237166472139,0.0018049133279873213,0.02707369991980982,1,53
Bacteria*Desulfobacterota,3036.2567688954605,-1.3793115048776117,0.6400297770262925,-2.1550739580995297,0.03571826246970781,0.2678869685228086,0,53
Bacteria*Elusimicrobiota,22.3066719285263,-0.492716686446588,0.37456888373052677,-1.3154234317046458,0.19403004061372756,0.4850751015343189,0,53
Bacteria*Synergistota,30.295968463417523,-0.2253052142555171,0.44666300499123807,-0.5044187938957174,0.6160578548679339,0.9527424639921656,0,53
Bacteria*Spirochaetota,15.768847954950514,0.007681335374586429,0.18379379647774555,0.04179322437314425,0.9668205864699742,0.9668205864699742,0,53
Archaea*Thermoplasmatota,15.768847954950525,0.12414330945743285,0.23618246894722955,0.5256245732835078,0.6013414476191807,0.9527424639921656,0,53
Bacteria*Campilobacterota,18.27140774064302,0.03007326227950291,0.2645265633275955,0.11368711671598562,0.9099153894100342,0.9668205864699742,0,53
Bacteria*Bdellovibrionota,15.768847954950514,0.007681335374586429,0.18379379647774555,0.04179322437314425,0.9668205864699742,0.9668205864699742,0,53
