,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia,-0.10669815339602022,0.2618578623609533,-0.40746591465313364,0.6836658236422362,0.9714993790585359,0,0,0,False
Bacteria*Firmicutes*Clostridia,-0.08162128223800866,0.21111001067049084,-0.3866291417388373,0.6990307805866516,0.9714993790585359,0,0,0,False
Bacteria*Firmicutes*Bacilli,0.5477051129593087,0.415502336394523,1.3181757717945972,0.1874448140631777,0.6680562096601529,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria,-0.22005992704515803,0.32953506043555514,-0.6677891170496367,0.5042682144190906,0.9581096073962722,0,0,0,False
Bacteria*Firmicutes*Negativicutes,0.2540188894004825,0.30491777544052273,0.8330734048990576,0.40480333162383414,0.854584811205872,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria,-0.3875778375357088,0.7817774092848343,-0.49576494911801416,0.620060257159978,0.9714993790585359,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria,-0.021855752972970655,0.6117290798478251,-0.03572783065733533,0.9714993790585359,0.9714993790585359,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia,0.2409972898506397,0.23862705529653977,1.0099327989072926,0.31252748732619057,0.8482888941710888,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae,-0.4159057395505168,0.4601939437499558,-0.9037618708352607,0.36612168389545124,0.854584811205872,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia,-0.8586472631790671,0.4242977309025178,-2.02369044338901,0.04300201249876165,0.6680562096601529,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia,-1.026245037657979,0.6082146281038846,-1.687307391565554,0.09154426044823227,0.6680562096601529,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia,0.2830252303143006,0.2262543816133423,1.2509160189347268,0.2109651188400483,0.6680562096601529,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia,0.6401608048529325,0.4933262330428516,1.2976419293667005,0.19441040693896114,0.6680562096601529,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria,0.06536435320863637,0.36180323276092846,0.1806627119106691,0.8566323286877469,0.9714993790585359,0,0,0,False
Bacteria*Synergistota*Synergistia,0.04711286718476538,0.2872863338748767,0.16399271956070383,0.8697368751686887,0.9714993790585359,0,0,0,False
Bacteria*Campilobacterota*Campylobacteria,-0.01285410920696467,0.1872637089672956,-0.06864175273389227,0.9452747833490731,0.9714993790585359,0,0,0,False
Bacteria*Firmicutes*Incertae_Sedis,-0.32670186696280157,0.25846504452220176,-1.2640079340970163,0.20622717921302725,0.6680562096601529,0,0,0,False
Bacteria*Patescibacteria*Saccharimonadia,0.028194589153383527,0.20536283368311684,0.13729158605635974,0.8908003208157822,0.9714993790585359,0,0,0,False
Bacteria*Actinobacteriota*Rubrobacteria,-0.03677873498221067,0.1808499343820857,-0.20336603995944735,0.8388489413444555,0.9714993790585359,0,0,0,False
