,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia,0.042006606790235865,0.3180628099141252,0.13207016187015816,0.8949287965216893,0.9421227420262607,0,0,0,False
Bacteria*Firmicutes*Clostridia,-0.2474928156888432,0.2543179925017703,-0.9731628236532279,0.33047238439273424,0.7569948732191226,0,0,0,False
Bacteria*Firmicutes*Bacilli,0.31964688661734086,0.5014087195365384,0.6374976624116081,0.5238007321073113,0.9047467190944467,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria,-0.0837018750580455,0.3896580209006086,-0.21480855152060535,0.829916585381789,0.9421227420262607,0,0,0,False
Bacteria*Firmicutes*Negativicutes,0.47440729494260436,0.33628325609903686,1.4107371875895283,0.15832212147065247,0.6983858428835689,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria,-0.7022602625790255,0.8510881065440986,-0.8251322714761005,0.4092964998958011,0.777663349802022,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria,-0.06196523878671415,0.700098538667188,-0.08850931028177894,0.9294718848473873,0.9421227420262607,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia,0.558650274287373,0.36258549058201084,1.5407408426372637,0.12337987226306525,0.6983858428835689,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae,-0.7502506775380418,0.5059376597100698,-1.4828915443218378,0.13810322836617928,0.6983858428835689,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia,-0.5540341043716643,0.48663788706088235,-1.1384935680159038,0.2549144431329996,0.6983858428835689,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia,-0.830616655924139,0.6424503499728967,-1.2928884791784774,0.19604963267878478,0.6983858428835689,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia,0.3861815860536015,0.31843174445741007,1.2127609535652086,0.22522122795921645,0.6983858428835689,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia,0.24901033596266184,0.5336641139668481,0.466604985131398,0.6407825197001678,0.9421227420262607,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria,-0.33729913856110494,0.3673958823480808,-0.9180808897622282,0.3585765188932686,0.7569948732191226,0,0,0,False
Bacteria*Synergistota*Synergistia,-0.02208309276043432,0.30416596189464623,-0.07260211702479459,0.9421227420262607,0.9421227420262607,0,0,0,False
Bacteria*Campilobacterota*Campylobacteria,0.06589193319461432,0.19723704226697064,0.3340748392760126,0.7383230857627764,0.9421227420262607,0,0,0,False
Bacteria*Firmicutes*Incertae_Sedis,-0.30229799216119857,0.2668601104719495,-1.132795724421219,0.2573000473781569,0.6983858428835689,0,0,0,False
Bacteria*Patescibacteria*Saccharimonadia,0.024587063195166597,0.21480035434056743,0.11446472362975547,0.9088694090267806,0.9421227420262607,0,0,0,False
Bacteria*Actinobacteriota*Rubrobacteria,0.06536042675751638,0.20875210354969223,0.3131006856750438,0.7542041681790819,0.9421227420262607,0,0,0,False
