,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia,552859.7941191951,0.01584316185169804,0.4496478626545744,0.03523459837697254,0.9720418957697758,0.9942901112976864,0,47
Bacteria*Firmicutes*Clostridia,374670.27749445284,-0.40176782430570057,0.32930757953682593,-1.2200381930801307,0.22853696990634703,0.5238105831291068,0,47
Bacteria*Firmicutes*Bacilli,8406.571865968051,0.37470068502544374,0.7441637831530725,0.5035191089759992,0.6169512479671889,0.9709096727837694,0,47
Bacteria*Proteobacteria*Gammaproteobacteria,44348.38302576368,-0.16591337594895897,0.5488784490090729,-0.30227708201787395,0.7637745207901957,0.9709096727837694,0,47
Bacteria*Firmicutes*Negativicutes,14704.85373631576,0.6392123762377103,0.45402855993853536,1.4078682105906386,0.1657502202387257,0.5238105831291068,0,47
Bacteria*Proteobacteria*Alphaproteobacteria,333.18728411652717,-1.0709992404787663,1.3182867196346444,-0.8124175299100241,0.42064814226620006,0.7992314703057801,0,47
Bacteria*Actinobacteriota*Actinobacteria,1374.544605966597,-0.19861938177466856,1.148127777522377,-0.172994143738324,0.863398896474782,0.9709096727837694,0,47
Bacteria*Fusobacteriota*Fusobacteriia,12.265309481686105,0.9946500782675558,0.6921409689426662,1.4370628569885278,0.15732436468505712,0.5238105831291068,0,47
Bacteria*Verrucomicrobiota*Verrucomicrobiae,124.68049637784267,-1.5941276249918106,0.85349166650649,-1.8677717516761352,0.06803605814023568,0.5238105831291068,0,47
Bacteria*Desulfobacterota*Desulfovibrionia,2393.1147416665767,-0.9604638629475913,0.8212984293464072,-1.169445634654303,0.24812080253484006,0.5238105831291068,0,47
Bacteria*Cyanobacteria*Vampirivibrionia,111.63608779597995,-1.4493740442235823,0.9517989818971021,-1.5227732659838802,0.1345159984287261,0.5238105831291068,0,47
Bacteria*Cyanobacteria*Cyanobacteriia,12.265309481686105,0.7003910735954676,0.5930337283478171,1.1810307578065524,0.24353258034327732,0.5238105831291068,0,47
Bacteria*Actinobacteriota*Coriobacteriia,529.1745249193993,0.3816035727448214,0.7639595048697161,0.4995075921071225,0.6197522234705382,0.9709096727837694,0,47
Bacteria*Verrucomicrobiota*Lentisphaeria,41.588468880062585,-0.7752020369434364,0.5878793265265491,-1.318641431947731,0.1936786266293505,0.5238105831291068,0,47
Bacteria*Synergistota*Synergistia,16.214218863721815,-0.07283564489885516,0.438228063905865,-0.1662048848484995,0.8687086545960042,0.9709096727837694,0,47
Bacteria*Campilobacterota*Campylobacteria,13.483243991011305,0.06435949276141423,0.2738180871107269,0.2350447095753337,0.81519510294912,0.9709096727837694,0,47
Bacteria*Firmicutes*Incertae_Sedis,22.216913290741555,-0.6221653774409306,0.35488825961505477,-1.7531303461990817,0.08610015696440311,0.5238105831291068,0,47
Bacteria*Patescibacteria*Saccharimonadia,13.483243991011305,-0.0021437830432019245,0.2979747889081214,-0.007194511492255628,0.9942901112976864,0.9942901112976864,0,47
Bacteria*Actinobacteriota*Rubrobacteria,12.265309481686119,0.09624045937164405,0.2987789497640771,0.3221125833919618,0.748795807040944,0.9709096727837694,0,47
