,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,-1.133150617069241,0.30035396013614996,-3.772717418327315,0.00016147914415061648,0.01291833153204932,1,0,0,True
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,3.204920127055512,1.1751570278318835,2.727227128929704,0.006386905897820428,0.25547623591281715,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,-0.0902221563894679,0.2634895352306069,-0.34241267422823896,0.7320403516925541,0.8969136341070846,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,1.014450906359003,0.6968165091773232,1.4558364978417144,0.14543782362299795,0.528864813174538,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,0.37451646251767134,0.32646964288623187,1.1471708646680598,0.25131101048398247,0.7462152814849724,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.5073264857591966,1.226357326585777,0.4136856972768384,0.6791043031048012,0.8969136341070846,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,-0.4821962877890528,0.5145169111662649,-0.9371825829709848,0.34866464731486146,0.8969136341070846,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,-0.6411956373376049,0.9607468473142409,-0.6673929132633237,0.5045211913880392,0.8969136341070846,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,-2.0268417012319992,0.8261220386646685,-2.453441024897673,0.014149673937434753,0.28299347874869507,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,1.0806009636251532,0.8820750142444418,1.2250669684264468,0.22054998943019202,0.7351666314339734,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,1.6714949783302333,0.968759251474804,1.7253976937878115,0.08445582664947145,0.4504310754638477,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,0.7017966666757145,0.3301336988118886,2.125795304149186,0.033520307203324905,0.30265650425576923,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,-0.5849286653060075,0.620276325940772,-0.9430130424836822,0.34567423178813506,0.8969136341070846,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,0.41184810750767853,0.8460981062289092,0.4867616467590276,0.6264272527592645,0.8969136341070846,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,1.9707018489577945,0.8753423491660349,2.2513498299669172,0.02436338905767304,0.30265650425576923,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,1.445945906643633,0.9157884671183764,1.5789081851985451,0.11435711828589096,0.49062932798186487,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,1.0512709777541671,0.520469285559581,2.0198520967935623,0.04339873140580266,0.30265650425576923,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,1.4431471144012455,0.8995439445003741,1.6043097429807058,0.10864579457167123,0.49062932798186487,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,-0.08767026792299829,0.6450861106633451,-0.13590475205371658,0.8918965787388715,0.9303029633595938,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Burkholderiaceae,-0.4454023405928681,0.8068319218787894,-0.5520385702584795,0.580921927822551,0.8969136341070846,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,-0.3583188438172729,0.6101933002295146,-0.5872218585200738,0.5570547137780786,0.8969136341070846,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,-0.5839200735339765,0.7648418998711777,-0.7634519939772209,0.44519388180623487,0.8969136341070846,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,-0.031543671092839044,0.13682710314027652,-0.23053671654876853,0.8176747360340444,0.8969136341070846,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,0.15663551729265054,0.7800651520748109,0.2007979934445638,0.8408565319753918,0.8969136341070846,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,0.42799051377690445,1.0590072842715272,0.404143125485026,0.6861074739099773,0.8969136341070846,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae,1.993239573007845,0.7741865395371538,2.5746244234619478,0.010034898631514744,0.2675972968403932,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales*Desulfovibrionaceae,-1.6084769573850077,0.7690802926055422,-2.0914291691647704,0.03648960967645131,0.30265650425576923,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae,-0.7735524525732833,0.6290456875281044,-1.229723798939044,0.21880055166322174,0.7351666314339734,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,0.20689813833982265,0.6507782957291453,0.31792415281460756,0.7505424710949498,0.8969136341070846,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,1.5648243863964637,0.8076285871741629,1.9375544789365087,0.052677600717537486,0.30265650425576923,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,-1.2570506526394913,0.6467262165781195,-1.9437137700875151,0.051929977153944755,0.30265650425576923,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Pectobacteriaceae,0.738926035103443,0.49377814034018486,1.4964737697670563,0.1345302383159852,0.5193677848544047,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,0.19426729993151434,0.7451722418608396,0.26070120304856126,0.7943229382343885,0.8969136341070846,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Eggerthellaceae,1.1244261381635077,0.7548599224460527,1.489582510248935,0.13633404352428125,0.5193677848544047,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,0.39093873816501296,0.6794467475673611,0.5753780403905088,0.56503565232197,0.8969136341070846,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria*Victivallales*Victivallaceae,0.6987701144466654,0.6530224267206117,1.0700553087522464,0.2845944138801384,0.8131268968003954,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Hafniaceae,-0.031543671092839044,0.13682710314027652,-0.23053671654876853,0.8176747360340444,0.8969136341070846,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae,-0.2261381980690828,0.26623109887564095,-0.8494056442846825,0.3956556135221645,0.8969136341070846,0,0,0,False
