,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,478892.38599986484,-1.291428827539566,0.465106602918595,-2.776629743451734,0.010049348604972952,0.17748973588660952,1,26
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,405.48156003282133,5.339192987465026,1.9380805125336151,2.7548870921183775,0.010577865606459066,0.17748973588660952,1,26
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,265954.26261275,0.2134216389281416,0.3130198256858737,0.6818150845892988,0.5013849040790825,0.8520904763323615,0,26
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,36.85594268156997,1.733798302464144,0.9916915575319932,1.7483241531056488,0.09220819427881162,0.35126931153832996,0,26
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,74691.57699861446,0.8888520908053735,0.5311470788546908,1.6734575528909994,0.10622828476718894,0.36948968614674416,0,26
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,1231.1860741815146,0.7491486173063006,1.7786923894416977,0.421179413457459,0.6770855721294042,0.8520904763323615,0,26
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,52827.92680919079,-0.35414482804623637,0.7277387788068632,-0.48663729123637084,0.6305924886380977,0.8520904763323615,0,26
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,1043.8440924859015,-0.810026972434108,1.6362411059347566,-0.49505355261891765,0.6247202419570501,0.8520904763323615,0,26
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,36194.39133073163,-2.6865022100235034,1.2727092323089655,-2.1108530855469763,0.04455720798635667,0.27870921090352774,0,26
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,6320.109963272406,2.025887760082722,1.455346411215964,1.3920313022863486,0.1757068772678264,0.5622620072570446,0,26
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,30.894429321205113,2.825375478860339,1.438306323826577,1.9643767339793796,0.060259705142160766,0.32138509409152405,0,26
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,32335.740040038454,1.3600739151118835,0.4875222097040648,2.789768113205497,0.009742145348091303,0.17748973588660952,1,26
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,19181.53281579019,-0.4271093495521271,1.0678951656276237,-0.3999543806353934,0.6924571380420115,0.8520904763323615,0,26
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,1923.931291912836,0.990879322265501,1.3153042162904163,0.7533461156690439,0.458009961154791,0.8520904763323615,0,26
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,50.736762881300486,3.7474741489549364,1.4338295753884378,2.6136119754258176,0.014701135041848968,0.17748973588660952,1,26
Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,195.81151967104594,2.961261612054255,1.6212080068874062,1.8265772186381242,0.0792671613168989,0.33371342822249284,0,26
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,4475.046618587046,1.8822982625138174,0.7393613690066625,2.5458434013704276,0.017172581079139583,0.17748973588660952,1,26
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,194.5339527763595,2.552459880053581,1.3714118998964517,1.861191287786189,0.0740608029974808,0.33371342822249284,0,26
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,93.00355489384934,-0.30282274141892973,1.1642256846665715,-0.26010656302060253,0.7968303848839369,0.8520904763323615,0,26
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Burkholderiaceae,214.6254099344119,-0.8887381148177045,1.120223443147225,-0.793357896814611,0.43475018048591296,0.8520904763323615,0,26
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,714.7379636620817,-0.30228438119366763,0.8823215027087584,-0.34260117232283677,0.7346528693784292,0.8520904763323615,0,26
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,8579.772037676668,-0.3260226836797895,1.3622747727913014,-0.23932226463517997,0.8127322600054654,0.8520904763323615,0,26
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,19.347043040417535,-0.041952020145821445,0.20761737260084887,-0.2020641125561085,0.8414393453782069,0.8520904763323615,0,26
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,176.55728456063034,0.40869597122550005,1.3092319223047792,0.3121646854638477,0.7574051646433453,0.8520904763323615,0,26
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,1491.6581238550323,0.8520203517534315,1.8067069850153283,0.4715874565272702,0.6411547745903743,0.8520904763323615,0,26
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae,159.27263498710397,3.7857356700661833,1.285701344012782,2.9444907152780786,0.006731627669960644,0.17748973588660952,1,26
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales*Desulfovibrionaceae,3258.0462604054624,-2.2971048578472453,1.092266666273037,-2.103062309578009,0.04529024677182325,0.27870921090352774,0,26
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae,6124.2656178445795,-0.7498653376228355,1.054629868055807,-0.7110222840599043,0.4834008149179996,0.8520904763323615,0,26
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,73.58352739890755,0.6079972848365401,1.152038993657398,0.5277575569784497,0.6021430165919651,0.8520904763323615,0,26
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,289.66522983874165,2.555788010637955,1.3227149467171868,1.9322288728808135,0.06429609817062693,0.3214804908531346,0,26
