Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,-0.42084911060442187,-0.66,-0.205,0.121,0.9998,11378.163666403156,-0.39382646985760245
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,0.0,-0.088,0.482,0.164,0.7091333333333333,478.32979403729854,0.21333045497392786
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,-0.1467794766236495,-0.338,0.029,0.107,0.7205333333333334,8625.868768843831,0.0015724319447109846
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,0.0,-0.255,0.271,0.096,0.5016666666666667,213.00176248934983,0.21333045497392758
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,0.0,-0.181,0.226,0.074,0.4484,3609.4130218214686,0.21333045497392786
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.0,-0.226,0.28,0.094,0.48966666666666664,481.68984906795333,0.21333045497392786
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,-0.20854901176427118,-0.491,0.028,0.157,0.7671333333333333,1719.4356895580931,-0.08754217008068059
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,0.0,-0.168,0.315,0.093,0.48733333333333334,467.45376258365036,0.21333045497392758
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,0.0,0.0,0.0,0.0,0.0,1178.856807044701,0.21333045497392786
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,0.0,-0.447,0.07,0.138,0.6442,549.1109085225023,0.21333045497392786
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,0.0,-0.221,0.285,0.094,0.4692,219.05009331820477,0.21333045497392786
