,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,-0.4570706286205207,0.26803882693971703,-1.7052403707292663,0.08814960356143219,0.7945950447484341,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,0.8168604239023843,0.7904722677447882,1.0333827728490481,0.30142480513279013,0.9958712358073873,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,0.5117858151464284,0.3132215070772313,1.633942125884213,0.10227100325749634,0.7945950447484341,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,0.4030405817518732,0.6079190964189373,0.6629839136919043,0.5073408566944455,0.9958712358073873,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,0.26479790406081083,0.5042468059478009,0.5251355108994432,0.599488991646989,0.9958712358073873,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,-0.790748208564394,0.5312356008179667,-1.4885075611401877,0.1366170896139886,0.8497409283754861,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,-0.5990769332355006,0.3421347089412352,-1.7509972463460222,0.07994638434184953,0.7945950447484341,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospira,-1.0815967161703737,0.3368171722927995,-3.2112279454389805,0.0013216905040421547,0.10397298631798285,1,0,0,True
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae*Sutterella,0.3620385161885935,0.8988283599483912,0.40278937817380506,0.6871031757818864,0.9958712358073873,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,-0.014106614550263172,0.7640043324059138,-0.01846405046662531,0.9852686562453496,0.9958712358073873,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,-1.3270215439070472,0.7410337126587638,-1.7907708127688422,0.07333008082843577,0.7945950447484341,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,0.428068837208182,0.40988161731097433,1.044371884781086,0.29631336621975307,0.9958712358073873,0,0,0,False
