,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,-0.6384616767204998,0.41510973854530636,-1.538055163335601,0.12403512756059423,0.9140490283225667,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,1.2613740499352186,0.9953560257898303,1.2672591688328796,0.20506263519211299,0.9140490283225667,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,0.6318722225244471,0.4788073160143534,1.319679548308124,0.186942031131521,0.9140490283225667,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,0.8137236107940713,0.7636618268906386,1.0655549120574308,0.28662489026134275,0.9140490283225667,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,0.03711862237517013,0.5357962295682178,0.06927749828527707,0.9447687364643913,0.9652182762147028,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,-0.4185704180233253,0.5900399022608722,-0.7093934095295545,0.478080376398599,0.9140490283225667,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,-0.8726506988782645,0.3996054607873364,-2.183780715005482,0.02897836534601264,0.5260687862814603,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospira,-1.5545878605274992,0.4735775000599921,-3.282647212611592,0.0010283727496820873,0.1213479844624863,1,0,0,True
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae*Sutterella,0.6404507450010722,0.9820218093391117,0.6521756837886192,0.5142878445310799,0.9140490283225667,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,-0.2479226285549939,0.8594151281021901,-0.2884783155987385,0.7729806269607065,0.9140490283225667,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,-2.280014774643101,0.8343056326263936,-2.732829176120526,0.006279289007526379,0.3251031760342245,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,0.2713120511421076,0.45954539745943007,0.5903922716711786,0.5549276906605554,0.9140490283225667,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Pseudobutyrivibrio,-0.732196029159597,0.7618019975048296,-0.9611369247623365,0.3364833258418302,0.9140490283225667,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,-0.7837142458174692,0.7053162689405517,-1.1111529399352695,0.26650252372813277,0.9140490283225667,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Rikenellaceae_RC9_gut_group,-0.28804197488119265,0.3993201494796363,-0.7213309302236491,0.47070593121145204,0.9140490283225667,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,-0.41271246589751653,0.5099842742315602,-0.8092650827702247,0.4183626861567276,0.9140490283225667,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,0.06681685865801572,0.6243343631839737,0.1070209531912737,0.9147723569766392,0.9594945610954971,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,-0.1161346378812965,0.6530858734503275,-0.17782445249924622,0.8588608430820776,0.9304159583141589,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,-0.4836563532511866,0.3012559338324297,-1.6054666445847174,0.10839114805930015,0.9140490283225667,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,-0.5015298808708294,0.7689856237083614,-0.652196693160853,0.5142742929412625,0.9140490283225667,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_UCG-001,0.13578724246438037,0.5119067286428671,0.2652577801123467,0.7908108864054515,0.9140490283225667,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,0.3264758849930675,0.7017389574493955,0.46523836467581414,0.6417607677165056,0.9140490283225667,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,-0.1669635803562706,0.6374534384933883,-0.2619227856875108,0.7933809722609624,0.9140490283225667,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Catenibacterium,0.12907667566049222,0.3661860024480261,0.35248937643052713,0.7244712842668464,0.9140490283225667,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,1.5031489316400164,0.5562640766360236,2.702221830915681,0.006887779153267468,0.3251031760342245,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae*Parasutterella,-1.0831784765470105,0.8733797261369851,-1.24021481622659,0.21489594967344666,0.9140490283225667,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,0.5593881350375035,0.590935977527925,0.9466137725741521,0.34383562329890827,0.9140490283225667,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae*CAG-873,0.22147696699635697,0.24350820479261256,0.9095256859413882,0.36307270565675087,0.9140490283225667,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Raoultella,0.1627306005008518,0.358507571376293,0.45391119600664775,0.6498927448845961,0.9140490283225667,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*UBA1819,0.0010369834056653277,0.49133844077025474,0.0021105277332660634,0.9983160437566295,0.9983160437566295,0,0,0,False
