,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,659853.036947598,-0.9385442720386217,0.7653665453210947,-1.2262676984984673,0.2262063659871212,0.8932983544404213,0,47
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,186.3079565242408,1.8900380160553487,1.8652555314198211,1.013286375093424,0.31611156734329693,0.8932983544404213,0,47
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,38.40996676760398,0.9286567821160489,1.0495444232572564,0.8848189381388609,0.38075865090511185,0.8932983544404213,0,47
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,75.78052691674431,1.3255914878626238,1.4434904339069112,0.9183237080933156,0.3631382678433206,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,11014.1791860514,0.17330256497888916,0.8212367977106463,0.21102630259871819,0.8337790655261239,0.904614301744061,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,29383.930857130912,-0.6218102185072562,0.9507373200376368,-0.654029462609757,0.5162803645885476,0.8932983544404213,0,47
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,69288.61588332892,-1.280677302698646,0.6233765411047633,-2.054420110883541,0.04551896960725025,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospira,27246.174417980616,-2.507207252870772,0.9949923801660525,-2.5198255814304313,0.015198004693225594,0.7173458215202481,0,47
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae*Sutterella,2584.2747912754685,1.249910290359051,1.5579941307268321,0.8022560969314728,0.4264428462231983,0.8932983544404213,0,47
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,726.1814609458116,-0.42383620886836215,1.503665997199725,-0.2818685862802455,0.7792817106813094,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,8037.6351759146,-3.854184852666654,1.414376349531829,-2.725006575472238,0.009002710076195141,0.7082131926606845,0,47
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,33.05945733419512,0.4838244285824266,0.8759376737749949,0.5523502905147429,0.5833257181536393,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Pseudobutyrivibrio,6469.624114980131,-1.2337059727768047,1.352834613742791,-0.9119414599864492,0.36645351555426475,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,11515.55995587229,-1.3037990822309762,1.2595753951797195,-1.0351099959720527,0.30591425357545804,0.8932983544404213,0,47
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Rikenellaceae_RC9_gut_group,35.568157595597725,-0.47066129452040795,0.5653105839661627,-0.832571170379113,0.4092973547468046,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,37078.37432037201,-0.6132255517210927,0.8661158452556762,-0.7080179344139229,0.4824307403455852,0.8932983544404213,0,47
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,24026.860618595376,0.17210281155067833,0.9599693290034815,0.17927948982425684,0.8584889046656046,0.9126278445994715,0,47
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,2514.1129991137773,-0.243338651364356,1.161774002130238,-0.2094543783198525,0.8349987963600107,0.904614301744061,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,19765.38438652512,-0.7602989938258441,0.5621396120603855,-1.352509194360372,0.18268412942459958,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,7011.50972325393,-0.8508293599863513,1.3305213938688785,-0.639470634524949,0.525621563868738,0.8932983544404213,0,47
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_UCG-001,44.950356815379685,0.19651958363864355,0.9418343709588578,0.20865620293573692,0.835618295678836,0.904614301744061,0,47
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,662.069757314755,0.31141772966889636,1.2593963749251276,0.2472753899163879,0.8057721163974187,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,10355.974476390222,-0.16619215247880686,1.0007053197952471,-0.16607501648218598,0.8688102827417343,0.9194584158163646,0,47
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Catenibacterium,30.816569961379265,0.22777726285230324,0.6980290093862651,0.3263148949247454,0.7456347439544885,0.8932983544404213,0,47
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,101.34663472846576,2.447531128901908,1.1567658231100433,2.115839766359586,0.03968485497164924,0.8932983544404213,0,47
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae*Parasutterella,1491.2685203308029,-1.8806799707703954,1.3933545706553867,-1.3497497409333414,0.18356167624544537,0.8932983544404213,0,47
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,222.91723853272683,0.940286197405317,1.1129021198240716,0.8448956836868621,0.40244960832661614,0.8932983544404213,0,47
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae*CAG-873,22.444560967553247,0.35790441531276596,0.533562240304836,0.6707828783166649,0.5056420054317312,0.8932983544404213,0,47
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Raoultella,31.551912464166687,0.3256310350149616,0.6698764272023698,0.48610612613270593,0.6291507671620515,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*UBA1819,71.74680147234554,0.10027550731382631,0.8748195452460552,0.11462421919896912,0.909231271310843,0.9461940864758489,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,6698.444779356816,-2.332597376420427,1.1706718135335386,-1.992528862021329,0.05213861079393885,0.8932983544404213,0,47
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Burkholderiaceae*Ralstonia,281.1912580903639,-2.915690907796427,0.643244280713595,-4.532789478612777,4.002259160471228e-05,0.009445331618712098,1,47
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae*Butyricicoccus,504.4175926936102,-0.24626825677860578,0.9864704031676886,-0.24964586467856045,0.8039491272458851,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,1693.3582463982816,0.8416501672360207,1.086692887044289,0.7745060055792181,0.4425105866199538,0.8932983544404213,0,47
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Klebsiella,28.285015376537345,1.6204879698676233,0.8989254600913039,1.8026944855950906,0.07785013631874703,0.8932983544404213,0,47
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Salmonella,474.2273934414152,0.2088281550934585,1.1569614100548982,0.18049707905430445,0.8575383938736939,0.9126278445994715,0,47
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae*Barnesiella,8399.733138802987,-0.8152620110398838,1.1915848879008095,-0.68418290574003,0.4972195161958457,0.8932983544404213,0,47
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelatoclostridium,64.77999870686546,0.45624150497949756,0.7939339700860809,0.5746592565248598,0.5682623929480621,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,7404.651307946281,-0.5149718070041314,0.8391076584594626,-0.6137136299644556,0.5423636759694526,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*Flavonifractor,513.2502592071866,0.00010898311037695063,1.141753393177056,9.545240769873517e-05,0.9999242439982299,0.9999242439982299,0,47
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Alloprevotella,76.01472557502007,0.009646260615930352,1.2213106028323004,0.007898286147324057,0.9937315753331804,0.9979602203345981,0,47
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae*Fusobacterium,22.444560967553233,0.8791584167825293,0.683295113078695,1.2866452575979082,0.2045194717050452,0.8932983544404213,0,47
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelotrichaceae_UCG-003,3354.350099526986,0.08631190167142402,0.914681977363967,0.09436274443732601,0.9252221578802615,0.9535040579028022,0,47
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,228.15559661137814,-1.7171507895863305,0.9139300683147512,-1.878864531454452,0.06647252289031515,0.8932983544404213,0,47
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Phascolarctobacterium,1931.5102439153516,0.38029679013630624,1.3890048232872867,0.2737908348196209,0.7854450418042936,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,3373.6806448173916,-1.2670016138050286,1.038701634028604,-1.2197936079978648,0.22862883369131523,0.8932983544404213,0,47
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Paraprevotella,87.16437143839123,2.141786560686928,1.3894850139521688,1.5414247287165461,0.12992007464491506,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*Colidextribacter,1611.813915580673,-0.42399666863633456,1.0441728141932862,-0.40605986180928166,0.6865415079434085,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerosporobacter,28.63879075931083,0.3521989383941819,0.4878585873587715,0.7219283364488049,0.473915130627636,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Dorea,5886.178842168746,-0.17759892562766127,0.688016615510657,-0.2581317392979594,0.797432238537751,0.8932983544404213,0,47
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Cedecea,22.444560967553237,0.7044602298114776,0.564679844438645,1.2475391795005362,0.21838019807513026,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_UCG-004,2971.9973382737885,-2.499504525482594,0.9857503515321362,-2.5356364535885314,0.014609121478580142,0.7173458215202481,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Eisenbergiella,78.83826777477555,0.7731841358461603,1.014463326844466,0.7621607557280404,0.44977209815181296,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Hungatella,22.44456096755325,-0.033234295143732814,0.11345909560348191,-0.29291873839608584,0.7708736559139325,0.8932983544404213,0,47
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae*Coprobacter,1343.3371590824918,-1.8824825244335452,1.085498412705012,-1.734210296763572,0.08943609528950515,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae*Family_XIII_AD3011_group,111.77253660058744,-0.008927561397000058,0.9065091117830941,-0.009848286444070747,0.9921840160136948,0.9979602203345981,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Tyzzerella,166.20712964276194,-1.1193748377721353,0.9627986432181259,-1.1626261063587067,0.2508506606664797,0.8932983544404213,0,47
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae*Holdemanella,100.74486125502881,-0.3137002861355709,1.0223554026440882,-0.30684073789237765,0.7603199612103566,0.8932983544404213,0,47
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Acidaminococcus,32.66973956437551,0.5823581087278886,0.8668395857439074,0.6718176215131183,0.5049888739051114,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_UCG-003,37.575439326464185,-0.3433330902906194,0.54707140399427,-0.6275836897777525,0.533314089979159,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae*Monoglobus,1269.236481776181,-1.8342678754820365,0.8809801175352359,-2.0820763590146205,0.04280541721997902,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*NK4A214_group,526.8154703425824,-1.2494731819487492,1.162162013478448,-1.07512822434195,0.28780574093776695,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Coprococcus,2903.900551626746,-1.3452057968821542,0.9595384018514852,-1.4019301304528315,0.16750614769989167,0.8932983544404213,0,47
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae*Butyricimonas,937.0761829462485,-0.5152641052689921,1.1418583017672455,-0.4512504786903259,0.6538843117975434,0.8932983544404213,0,47
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Lactococcus,31.951468402337337,0.3655863937851752,0.6770155826304399,0.539997015083088,0.5917486822691271,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-005,635.8347845717699,-1.572333401420168,1.1753493392832943,-1.3377583573399097,0.1874125782339872,0.8932983544404213,0,47
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales*Desulfovibrionaceae*Bilophila,2660.400885143523,-0.6062666607516457,0.8755961193121463,-0.6924044629479613,0.49209033919617917,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Butyrivibrio,22.44456096755325,0.27092243365895385,0.4195565431052563,0.645735212836345,0.5215911908164655,0.8932983544404213,0,47
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Mitsuokella,22.444560967553247,0.6207182236084736,0.6403867929698921,0.9692864225537781,0.3373640935668152,0.8932983544404213,0,47
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Veillonella,87.42272894238185,2.124553173146539,1.1425469573531493,1.859488714641828,0.06922381646668893,0.8932983544404213,0,47
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Rikenella,22.44456096755325,0.295596377707981,0.445979330120126,0.662802864940761,0.5106943853864121,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Incertae_Sedis,178.25112830744257,-0.9113579157876595,0.7696171306005222,-1.1841705174578674,0.242299759260242,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium_sensu_stricto_1,66.15575954206159,-0.06806826749698441,0.8267403588434117,-0.08233330666499716,0.9347313145614449,0.9591156097239174,0,47
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*Oscillibacter,358.36239937688737,0.33367768448134627,1.0347636919303105,0.32246752285914076,0.7485286450371509,0.8932983544404213,0,47
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae*Odoribacter,4849.713196368683,-1.3424214122059683,0.9779843399329217,-1.372641010077976,0.17637879565604764,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Negativibacillus,86.27084059051802,0.19352448071239917,0.9882175890680113,0.19583185206702527,0.8455860130865265,0.9086075568303277,0,47
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Pectobacteriaceae*Dickeya,22.444560967553212,0.755332547196965,0.6082253201578584,1.241863043453907,0.2204486463197327,0.8932983544404213,0,47
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Enterobacter,22.444560967553247,0.5599483041992006,0.46894065646915967,1.194070713371866,0.23844214783227474,0.8932983544404213,0,47
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae*Collinsella,264.076103237531,0.7894718696844146,1.0241583311680007,0.7708494337824328,0.44465414875685505,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Tuzzerella,68.32650233947903,1.7932463652453379,0.9171225509221281,1.955296337923764,0.05650872413081586,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_AC2044_group,28.638790759310805,0.7311051294743971,0.674356139433019,1.0841528485068606,0.28382727481908127,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_UCG-010,178.39345431488874,2.124665783770622,0.9710802036256965,2.187940579818035,0.03368079430899996,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-003,728.1205716969797,-0.8718297821617105,1.2263670301535863,-0.7109044525214652,0.4806566549991004,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_ND3007_group,1574.4987909467454,-0.25377183789253455,0.9157341556632441,-0.27712391890497273,0.7829001881334167,0.8932983544404213,0,47
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*CAG-352,41.81979001998821,-0.6592740016922185,0.5842765204647861,-1.1283595670895223,0.2648950533009648,0.8932983544404213,0,47
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae*Faecalitalea,22.44456096755325,0.27196973324998197,0.2953648351659776,0.9207925279837427,0.3618610563339498,0.8932983544404213,0,47
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Eggerthellaceae*Eggerthella,38.82449265485346,0.19360814393402867,0.5525550919150849,0.35038704152197336,0.7276137713582371,0.8932983544404213,0,47
