Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,-0.5333507728383289,-0.653,-0.403,0.067,1.0,10987.538450946917,-0.4997444157231899
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,0.0,-0.234,0.224,0.108,0.5275333333333333,151.23997509383798,0.2697180993049632
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,0.0,-0.135,0.272,0.094,0.6081333333333333,100.06978717541575,0.2697180993049632
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,0.0,-0.193,0.201,0.072,0.4587333333333333,112.71559800390592,0.2697180993049632
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,0.0,-0.184,0.264,0.107,0.5962,629.4634654207098,0.26971809930496293
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,-0.28234337374950663,-0.53,-0.029,0.152,0.8828,643.2442039780092,-0.13761728583130936
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,-0.3422786751865813,-0.579,-0.134,0.121,0.9929333333333333,1321.5877572693282,-0.2240856479887618
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospira,-0.2672841323743448,-0.518,-0.048,0.142,0.9539333333333333,514.1852874762565,-0.11589139297981384
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae*Sutterella,0.0,-0.218,0.249,0.092,0.6146,339.29428031637696,0.2697180993049632
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,0.0,-0.31,0.244,0.097,0.47513333333333335,184.72492272368908,0.2697180993049632
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,-0.18592153501817507,-0.439,0.086,0.148,0.8461333333333333,257.4810896938162,0.0014900227397779305
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,0.0,-0.19,0.27,0.092,0.5663333333333334,96.91824754665465,0.26971809930496293
