,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.02102267770369066,0.2992264214805809,0.07025675607010187,0.9439893010702786,0.9813711480681089,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.11530859999607201,0.3083876983015297,-0.373907910825054,0.7084728306721791,0.9813711480681089,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales,-0.2277803728962081,0.2485806857835119,-0.9163236965826913,0.359497142831854,0.8807679999380424,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,0.9836927527918297,0.6672295749912089,1.4742942903944123,0.14040237180222645,0.5796180094264323,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.9499180161360973,0.7945952988547508,1.1954739947558373,0.23190189069479464,0.6684230967085257,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,-0.42351516999714733,0.8372201605939212,-0.5058587811558516,0.6129557900776195,0.9813711480681089,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,1.124033725135736,0.7653891549107029,1.4685780663653063,0.1419472676146365,0.5796180094264323,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,-0.7763869381493427,0.5127226952044055,-1.5142433627593235,0.129964127417255,0.5796180094264323,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales,-2.093649418888866,0.7899651056262375,-2.6503062021064143,0.00804188493641579,0.20491117540832068,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,-2.0046044609862834,0.7601771494511211,-2.6370227813789056,0.008363721445237579,0.20491117540832068,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,0.03189190359293639,0.43873620787965467,0.07269038438168826,0.9420525004589084,0.9813711480681089,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,-0.10887574700511186,0.6700578266747946,-0.1624870909208162,0.8709222931437852,0.9813711480681089,0,0,0,False
