,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,611560.8655526357,0.0023576757223287004,0.44544192302735536,0.005292891397166296,0.9957993057655726,0.9957993057655726,0,47
Bacteria*Firmicutes*Clostridia*Oscillospirales,108997.12717142138,-0.1936674997324726,0.3759631639727664,-0.5151236032966816,0.608881044773437,0.9957993057655726,0,47
Bacteria*Firmicutes*Clostridia*Lachnospirales,221681.4515869776,-0.356588073643537,0.3570956409550184,-0.9985786236143238,0.32311243344809293,0.7874479592186638,0,47
Bacteria*Firmicutes*Bacilli*Lactobacillales,148.34153276303348,1.6239452658505207,1.2229027431122361,1.3279431050401016,0.19061020903857281,0.6411921930524612,0,47
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,981.5020036524811,1.3460425664012587,1.291668375508507,1.0420960920958877,0.302698009280314,0.7806422344597571,0,47
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,228.85335759718453,-0.6079779411131725,1.3585878178814812,-0.4475072815397573,0.6565646190382921,0.9957993057655726,0,47
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,1211.130760302825,1.8680815083252071,1.1637472096952937,1.6052296347196664,0.11514242614326056,0.5641978881019768,0,47
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,36025.61215030684,-1.156192674312805,0.8025430723980763,-1.4406612106911465,0.15630945206922833,0.6230253269892729,0,47
Bacteria*Firmicutes*Clostridia*Christensenellales,5034.890806193024,-3.41744118256579,1.2813898472507002,-2.66698006847652,0.01046417205521242,0.2563722153527043,0,47
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,670.5787920472403,-3.461597483848162,1.1010375109343382,-3.1439414638204806,0.0028868715281503256,0.14145670487936596,1,47
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,4666.970539050331,-0.025419509165530485,0.6710101269211731,-0.037882452359048586,0.9699418552831237,0.9957993057655726,0,47
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,1520.495973835097,-0.24961179346310325,1.150325392961894,-0.2169923353777273,0.8291535177601352,0.9957993057655726,0,47
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,67.46459707821317,2.415731477715192,1.1975065799856328,2.0173012141145605,0.04939532981871075,0.3202062569114291,0,47
Bacteria*Firmicutes*Bacilli*Izemoplasmatales,109.23478302042243,-2.1104212874161337,0.9622945278613412,-2.193113673946017,0.03328256185602464,0.3202062569114291,0,47
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,13.57411723247553,0.9809925127661971,0.6960235342782323,1.4094243433643003,0.1652924336910316,0.6230253269892729,0,47
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,137.9849140344252,-1.7234239316850777,0.8654787750068359,-1.99129543260199,0.05227857255696802,0.3202062569114291,0,47
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,1185.9434763571091,0.7498039790601114,1.348684873483556,0.5559519453372541,0.5808808665807719,0.9957993057655726,0,47
Bacteria*Firmicutes*Bacilli*RF39,178.67776049280522,-1.1602170973076766,1.0765140932720982,-1.0777537466148357,0.28664430594279955,0.7803094995109544,0,47
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,215.40013435900826,-1.9631684877184892,0.9727851343772232,-2.018090550875152,0.04931001259803334,0.3202062569114291,0,47
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,749.9448140807465,-0.020205473702000765,0.901434171560586,-0.02241480780234959,0.9822119623921317,0.9957993057655726,0,47
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,2648.479445435233,-0.974121428448947,0.8646173202730528,-1.126650375383773,0.26560994571451013,0.7680672254366768,0,47
Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,123.54856152469831,-1.4630316097249365,1.0053666163516177,-1.4552219915896378,0.1522548571419738,0.6230253269892729,0,47
Bacteria*Firmicutes*Clostridia*Clostridiales,47.531282130603486,0.247646076156959,0.9774923744862565,0.25334834584987437,0.8011039767245083,0.9957993057655726,0,47
Bacteria*Firmicutes*Clostridia*Monoglobales,767.614248470767,-1.8405410175807833,0.863303651118192,-2.1319740918468573,0.03826531127815318,0.3202062569114291,0,47
Bacteria*Cyanobacteria*Cyanobacteriia*Chloroplast,13.574117232475537,0.6867335080941114,0.6106507237147748,1.124592965216682,0.26647230270252054,0.7680672254366768,0,47
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,585.6417278684121,0.3679460072434648,0.7529139200079455,0.48869598165960576,0.6273295770472339,0.9957993057655726,0,47
Bacteria*Verrucomicrobiota*Lentisphaeria*Victivallales,46.02629496956846,-0.7888596024447929,0.6018003478704486,-1.3108327458371845,0.19628332440381466,0.6411921930524612,0,47
Bacteria*Synergistota*Synergistia*Synergistales,17.944407193133443,-0.08649321040021149,0.44062726618918246,-0.19629563814390869,0.8452250802561099,0.9957993057655726,0,47
Bacteria*Firmicutes*Clostridia*Peptococcales,51.41515242123525,-1.172066395542505,0.5600986510287543,-2.0926070673259547,0.041809893021066934,0.3202062569114291,0,47
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,29.629612937070117,-0.1618198710009358,0.6813670241528568,-0.23749295939604118,0.8133066184733808,0.9957993057655726,0,47
Bacteria*Firmicutes*Bacilli*Acholeplasmatales,13.574117232475555,-0.03950743724247849,0.21883149031296367,-0.18053817202440378,0.8575063183654551,0.9957993057655726,0,47
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,13.574117232475537,0.3133955863640596,0.40498915406175157,0.7738369860548758,0.44290232386609474,0.9864642667926654,0,47
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,16.673852105314598,-0.11063748682265107,0.41532873241320667,-0.26638534295426225,0.791107673060381,0.9957993057655726,0,47
Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales,13.574117232475537,0.17519146024450422,0.35823619958063435,0.48903896493316523,0.6270885660314254,0.9957993057655726,0,47
Bacteria*Proteobacteria*Alphaproteobacteria*Caulobacterales,13.57411723247554,0.1719983229068004,0.3881506579136795,0.4431225850068016,0.6597100797644736,0.9957993057655726,0,47
Bacteria*Firmicutes*Clostridia*Clostridia_or,16.83850892138515,0.04081750430039516,0.40466408872995113,0.10086762190463198,0.9200846138280203,0.9957993057655726,0,47
Bacteria*Campilobacterota*Campylobacteria*Campylobacterales,14.922015207307966,0.05070192726005779,0.276632015250984,0.1832829335174987,0.8553644212081609,0.9957993057655726,0,47
Bacteria*Firmicutes*Bacilli*Staphylococcales,13.574117232475546,0.3489850236689639,0.36012874954270535,0.9690562725472713,0.3374776968079988,0.7874479592186638,0,47
Bacteria*Firmicutes*Clostridia*Eubacteriales,14.92201520730797,0.017340574640913486,0.3424223952244107,0.05064088938910999,0.9598262895434526,0.9957993057655726,0,47
Bacteria*Firmicutes*Incertae_Sedis*DTU014,24.587637678654993,-0.6358229429422871,0.34700500115728006,-1.8323163666857363,0.07324433545680141,0.3987747152648077,0,47
Bacteria*Patescibacteria*Saccharimonadia*Saccharimonadales,14.922015207307975,-0.01580134854455781,0.296547365601793,-0.05328440032671215,0.9577311528599055,0.9957993057655726,0,47
Bacteria*Firmicutes*Bacilli*Bacillales,13.57411723247554,0.03305281572275193,0.2355153450740709,0.14034251446484997,0.8889891144512134,0.9957993057655726,0,47
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,14.922015207307975,0.10975871108035662,0.3472137774586414,0.31611277606468424,0.7533165319745796,0.9957993057655726,0,47
Bacteria*Firmicutes*Clostridia*Caldicoprobacterales,13.574117232475555,-0.03950743724247849,0.21883149031296367,-0.18053817202440378,0.8575063183654551,0.9957993057655726,0,47
Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales,15.446977286861552,-0.1269134575028367,0.27180072184332255,-0.4669356896557287,0.6427033189748563,0.9957993057655726,0,47
Bacteria*Actinobacteriota*Rubrobacteria*Rubrobacterales,13.57411723247554,0.08258289387028761,0.2940383339006832,0.28085757654368115,0.7800523372747408,0.9957993057655726,0,47
