Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.0,-0.343,0.143,0.093,0.4076,24375.689200347686,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales,0.0,-0.437,0.212,0.124,0.43706666666666666,5272.9305593811705,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales,0.0,-0.513,0.096,0.168,0.5884666666666667,9066.499902610372,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales,0.0,-0.25,0.72,0.198,0.4912666666666667,370.6808946868898,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.0,-0.297,0.525,0.144,0.4334,719.3453557974001,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,0.0,-0.568,0.481,0.204,0.5225333333333333,243.55470302022096,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.0,-0.124,0.76,0.224,0.5583333333333333,805.4020311690314,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,0.0,0.0,0.0,0.0,0.0,2043.3411594993624,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales,0.0,-1.142,0.041,0.357,0.7874,756.9835860825557,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,0.0,-1.232,0.1,0.393,0.7536666666666667,320.32675056705114,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales,0.0,-0.337,0.413,0.13,0.45253333333333334,1114.7010934730836,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,0.0,-0.46,0.37,0.155,0.4864,673.4013896467821,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.0,-0.199,0.87,0.265,0.5377333333333333,279.31538912811544,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Izemoplasmatales,0.0,-1.048,0.346,0.352,0.6257333333333334,92.79025006820777,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,0.0,-0.444,1.033,0.33,0.5842666666666667,36.428140635913394,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,0.0,-1.046,0.179,0.346,0.66,201.20847716249045,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Acidaminococcales,0.0,-0.382,0.447,0.151,0.4568,643.1265845102167,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*RF39,0.0,-0.722,0.372,0.223,0.5017333333333334,214.07824314096038,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,0.0,-0.986,0.229,0.295,0.5901333333333333,216.87942855708084,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,0.0,-0.537,0.297,0.146,0.42333333333333334,619.7657415010423,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,0.0,-0.517,0.309,0.157,0.46373333333333333,809.43912565047,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,0.0,-0.836,0.307,0.246,0.5301333333333333,167.2252273171084,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridiales,0.0,-0.441,0.633,0.2,0.5021333333333333,130.10496794174244,0.0
