,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota,-0.09789749151269804,0.2638869195225402,-0.3709827364305415,0.7106503900141212,0.9836169519765806,0,0,0,False
Bacteria*Firmicutes,0.023478594723536556,0.22400940959324792,0.10481075221870612,0.916525978008755,0.9836169519765806,0,0,0,False
Bacteria*Proteobacteria,-0.24044450190860253,0.29643667895754255,-0.8111158941402135,0.4172991191007473,0.9180580620216441,0,0,0,False
Bacteria*Actinobacteriota,0.45617181856384037,0.5420617171541964,0.8415495950511415,0.40004011332548123,0.9180580620216441,0,0,0,False
Bacteria*Fusobacteriota,0.24979795173396283,0.24192760067792418,1.0325318443781715,0.30182303775827596,0.9180580620216441,0,0,0,False
Bacteria*Verrucomicrobiota,-0.2795258681250806,0.524829900436254,-0.5326027878608489,0.5943085718854697,0.9836169519765806,0,0,0,False
Bacteria*Desulfobacterota,-0.8498466012957447,0.4193111914717012,-2.026768229850836,0.042686120975148505,0.46954733072663357,0,0,0,False
Bacteria*Cyanobacteria,-0.7209931240704517,0.6039094668508438,-1.1938761745699307,0.23252640860559434,0.9180580620216441,0,0,0,False
Bacteria*Synergistota,0.05591352906808851,0.3006162683474231,0.18599635134672446,0.8524476226086698,0.9836169519765806,0,0,0,False
Bacteria*Campilobacterota,-0.004053447323641705,0.19739646466058478,-0.02053454873475796,0.9836169519765806,0.9836169519765806,0,0,0,False
Bacteria*Patescibacteria,0.03699525103670655,0.2161898530280566,0.17112390113843776,0.8641263426725346,0.9836169519765806,0,0,0,False
