,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota,0.04048013319616606,0.32183522353765137,0.12577906405397016,0.8999068146062295,0.9419069964646407,0,0,0,False
Bacteria*Firmicutes,-0.0675644044293705,0.2600557980722379,-0.25980733723384464,0.7950123909673601,0.9419069964646407,0,0,0,False
Bacteria*Proteobacteria,-0.16204717334304083,0.36491546478556036,-0.4440677060323178,0.656993633837059,0.9419069964646407,0,0,0,False
Bacteria*Actinobacteriota,0.31605184339042625,0.5886447297200661,0.5369144195697239,0.5913267301806739,0.9419069964646407,0,0,0,False
Bacteria*Fusobacteriota,0.5571238006933023,0.35762199154828656,1.5578566583148137,0.11926723143204704,0.6559697728762587,0,0,0,False
Bacteria*Verrucomicrobiota,-0.9236179632719663,0.5835050387979942,-1.5828791558931457,0.11344901049422221,0.6559697728762587,0,0,0,False
Bacteria*Desulfobacterota,-0.5555605779657348,0.47554678808067846,-1.1682563985091654,0.24270335714981178,0.8899123095493099,0,0,0,False
Bacteria*Cyanobacteria,-0.5429344987120767,0.6654280690854181,-0.8159176384884097,0.41454724322520176,0.9419069964646407,0,0,0,False
Bacteria*Synergistota,-0.02360956635450434,0.32398133412062907,-0.07287323023897949,0.9419069964646407,0.9419069964646407,0,0,0,False
Bacteria*Campilobacterota,0.06436545960054423,0.21773599338111976,0.2956124001413055,0.7675261027234017,0.9419069964646407,0,0,0,False
Bacteria*Patescibacteria,0.023060589601096443,0.22892410942261235,0.1007346480860377,0.9197611060632133,0.9419069964646407,0,0,0,False
