,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota,536704.6069569192,0.058463249176515325,0.4303861916838549,0.13583904480713493,0.8925286721298344,0.9471805638197744,0,47
Bacteria*Firmicutes,405197.8247606594,-0.0973258235706359,0.3128954340734061,-0.3110490373848121,0.7571387613948594,0.9471805638197744,0,47
Bacteria*Proteobacteria,52522.13939250867,-0.23403406907805624,0.5052825396636301,-0.46317466111901323,0.6453768397792499,0.9471805638197744,0,47
Bacteria*Actinobacteriota,2854.2770353416395,0.48046781508220204,0.7392352430378676,0.64995252811234,0.518887213668958,0.9471805638197744,0,47
Bacteria*Fusobacteriota,11.906903295547073,1.0372701655923717,0.644788836187201,1.608697464003893,0.1143800135667314,0.6290900746170227,0,47
Bacteria*Verrucomicrobiota,235.76685014831023,-1.7505929605183659,0.9493275827247771,-1.8440346539745347,0.07148688795954931,0.6290900746170227,0,47
Bacteria*Desulfobacterota,2323.1852279568316,-0.9178437756227739,0.7631968595675539,-1.2026304407788664,0.2351430793285387,0.8621912908713085,0,47
Bacteria*Cyanobacteria,108.3739553139431,-0.8502588859068692,1.0231116122990174,-0.8310519357670727,0.41014639895928373,0.9471805638197744,0,47
Bacteria*Synergistota,15.740421088553784,-0.030215557574037266,0.4536691055708943,-0.06660263439366056,0.9471805638197744,0.9471805638197744,0,47
Bacteria*Campilobacterota,13.089248383903621,0.10697958008623157,0.30397340450201493,0.3519373027436104,0.726458394673813,0.9471805638197744,0,47
Bacteria*Patescibacteria,13.089248383903636,0.040476304281615944,0.29185309578611063,0.138687253505372,0.8902898257259182,0.9471805638197744,0,47
