,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia,1.6728946774768818,0.21482036391155823,7.787411989328974,6.839565042436683e-15,1.1627260572142362e-13,1,0,0,True
Bacteria*Bacteroidota*Bacteroidia,0.026125073630590717,0.5536458728297977,0.04718733564662932,0.9623639209691311,0.9804300130290564,0,0,0,False
Bacteria*Firmicutes*Bacilli,2.1405192673853644,0.39846126510744834,5.371963236647748,7.788399001015816e-08,2.648055660345377e-07,1,0,0,True
Bacteria*Firmicutes*Negativicutes,-4.218411138471177,0.7138749463967345,-5.909173812253111,3.4382777261741704e-09,1.9483573781653634e-08,1,0,0,True
Bacteria*Actinobacteriota*Actinobacteria,0.39250211315535605,0.5896409251084161,0.6656629423800382,0.5056265650314737,0.8595651605535053,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia,-0.17446805603139032,0.8086994704202944,-0.21573905067690521,0.8291911598829887,0.9804300130290564,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia,1.8929255857465217,0.6600264882672632,2.867953967598984,0.004131356374980849,0.010033294053524919,1,0,0,True
Bacteria*Proteobacteria*Alphaproteobacteria,3.1475257526432916,0.4139940358653802,7.602828736563691,2.8972680768481945e-14,2.4626778653209655e-13,1,0,0,True
Bacteria*Proteobacteria*Gammaproteobacteria,-2.9561031646429723,0.5249095171370146,-5.631643298765632,1.7850057241177027e-08,7.586274327500237e-08,1,0,0,True
Bacteria*Verrucomicrobiota*Verrucomicrobiae,0.5928625502851037,0.42692654059313795,1.3886757882548773,0.16493135979806148,0.3115370129518939,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia,-0.45671042609014756,0.2962079602326617,-1.5418573684900851,0.1231082575737344,0.2616050473441856,0,0,0,False
Bacteria*Patescibacteria*Saccharimonadia,1.064283946608871,0.2636050284420108,4.037418985893882,5.4042498573706173e-05,0.00015312041262550082,1,0,0,True
Bacteria*Bacteroidota*SJA-28,0.021588813823599576,0.2382715552909327,0.09060592145478444,0.9278057266485599,0.9804300130290564,0,0,0,False
Bacteria*Synergistota*Synergistia,0.021588813823599534,0.1952513963273494,0.11056931847700968,0.9119578785728536,0.9804300130290564,0,0,0,False
Bacteria*Actinobacteriota*Rubrobacteria,0.09725414267953157,0.2427007124414849,0.4007163460757435,0.6886289746689871,0.9804300130290564,0,0,0,False
Bacteria*Deinococcota*Deinococci,-0.005442193383611779,0.2218604775190433,-0.02452980109152001,0.9804300130290564,0.9804300130290564,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia,-0.017596963836541774,0.19528628802152304,-0.0901085478904815,0.9282009566210809,0.9804300130290564,0,0,0,False
