Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia,1.3094598995758202,0.908,1.722,0.216,1.0,16241.450769788644,0.8532691203376684
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia,0.0,-0.641,0.206,0.183,0.39853333333333335,4406.614749949817,-1.0358821830233278
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli,0.8130953517709746,0.21,1.43,0.369,0.9343333333333333,1039.980659196366,0.1371664487465245
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes,-1.0028169154093542,-1.701,-0.32,0.402,0.9634666666666667,135.64553566248995,-2.4826411738039695
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria,0.0,-0.493,0.627,0.17,0.3412,472.88964058405827,-1.0358821830233278
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia,0.0,-0.651,0.539,0.18,0.35026666666666667,162.04305042044328,-1.0358821830233274
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia,0.5269527364022484,-0.085,1.154,0.374,0.6455333333333333,460.7311940050828,-0.2756500834329348
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria,0.6317526717673743,-0.058,1.296,0.415,0.7754,264.7046602960898,-0.12445573639618375
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria,0.0,0.0,0.0,0.0,0.0,248.3557125407718,-1.0358821830233276
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae,0.0,-0.554,0.648,0.191,0.3536666666666667,127.72276841443693,-1.0358821830233278
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota*Desulfovibrionia,0.0,-0.725,0.476,0.195,0.3756,125.94710827993052,-1.0358821830233276
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Patescibacteria*Saccharimonadia,0.0,-0.344,0.859,0.227,0.4205333333333333,134.54006601442003,-1.0358821830233278
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*SJA-28,0.0,-0.595,0.553,0.168,0.34046666666666664,121.2509110089142,-1.0358821830233278
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Synergistota*Synergistia,0.0,-0.548,0.571,0.167,0.3247333333333333,121.37222256559215,-1.0358821830233276
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Rubrobacteria,0.0,-0.623,0.534,0.18,0.34286666666666665,122.59203368175321,-1.0358821830233278
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Deinococcota*Deinococci,0.0,-0.624,0.548,0.182,0.3552666666666667,121.73688595487538,-1.0358821830233274
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Cyanobacteriia,0.0,-0.688,0.539,0.191,0.3579333333333333,120.64616956735105,-1.0358821830233276
