,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,1.6058000622796484,0.19156657665311677,8.382464677997483,5.1830750640164147e-17,9.847842621631187e-16,1,0,0,True
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,0.3596213956906405,0.5874501111967997,0.6121735085861018,0.5404229668440257,0.668097218750848,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,3.65089650695048,0.672395704135249,5.429684461839038,5.645377587784181e-08,5.363108708394972e-07,1,0,0,True
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,3.681799438071133,1.0065939181961956,3.657680988842923,0.00025450753683671956,0.0011159176615148474,1,0,0,True
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,5.195587284805659,0.5764075370480811,9.01373932654227,1.9914769753196776e-19,5.675709379661081e-18,1,0,0,True
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,4.955271479372646,0.43964207998783505,11.271149202800967,1.8217643799501208e-29,1.0384056965715688e-27,1,0,0,True
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,1.2695898905861984,0.3859627937573695,3.2894100444933287,0.001003976431083995,0.0035775503812876352,1,0,0,True
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,-1.7652887518080296,0.891073743702291,-1.9810804260413883,0.04758225501063475,0.11300785565025752,1,0,0,True
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,0.3432387501697014,0.5928418882468548,0.57897182532888,0.5626081842112405,0.668097218750848,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,-0.1489252113412392,0.825538453283414,-0.1803976674241145,0.8568403854120505,0.9044426290460533,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,-0.4359005341666161,0.7504651694804966,-0.5808404598821885,0.561347983551016,0.668097218750848,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,-2.4432246758091685,0.6168000942894326,-3.9611288948063756,7.459624915862322e-05,0.00038654420018559304,1,0,0,True
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,-2.3767935078266524,0.6373939621362874,-3.7289237881397552,0.00019229929492565207,0.0009134216508968474,1,0,0,True
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,0.2818172617408951,0.6931367019595539,0.40658251243106125,0.6843146433509661,0.7960394830817361,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,1.9693682877341425,0.5987122058213337,3.28934046873572,0.0010042246684316169,0.0035775503812876352,1,0,0,True
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,3.51396556418394,0.4753576698070975,7.392255952470325,1.443582978095882e-13,1.6456845950293056e-12,1,0,0,True
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,2.7296344974944864,0.5339175971347497,5.112464005949561,3.1798358942278066e-07,2.5892949424426425e-06,1,0,0,True
