,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,407357.400761892,0.5422028344219753,0.29458016860881325,1.8405951662754043,0.07669676354373224,0.15613269721402634,1,27
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,393825.6192540668,-1.2728368281154787,0.7806416231937516,-1.630500847377397,0.11460779919280348,0.20405602836892253,0,27
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,10030.16367483911,3.684058853644702,0.9670745756990494,3.8094878577297737,0.0007310097561060106,0.00416675560980426,1,27
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,1404.9745548351195,4.169304969855821,1.5475756898029815,2.6940879191418454,0.011987133536755897,0.042704163224692886,1,27
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,1151.0247635614483,6.285838141909085,0.9094486630586669,6.911701998404716,1.9923834451377094e-07,3.785528545761648e-06,1,27
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,663.0528984110807,5.890396073420106,0.711402714049165,8.279974137142554,6.8932915983908065e-09,1.9645881055413798e-07,1,27
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,123943.34490930942,0.06354030425911199,0.509206338427817,0.12478301911027605,0.9016197577888302,0.9177201106064878,0,27
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,522.477162427865,-3.422709852419894,1.5157628256814084,-2.258077447493292,0.032230928011981234,0.0966927840359437,1,27
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,22319.44722021475,-1.2314485252804186,0.8264277509793718,-1.4900861252796391,0.14779193568447943,0.24068972382900936,0,27
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,349.4953346562947,-0.8608004784778817,1.4309051472106291,-0.6015775959405169,0.5524734933451012,0.6426732473606279,0,27
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,13578.062653334882,-2.306705554899451,1.0990259491092735,-2.0988635953218067,0.04531688593639406,0.1174119317442937,1,27
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,1583.0934416624818,-5.29927681332126,1.0821490725235348,-4.896993351353642,4.017020611386122e-05,0.0003816169580816816,1,27
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,1269.6714853734663,-4.970866252073502,1.1616950278200686,-4.278976954391703,0.00021081331806951288,0.0015020448912452793,1,27
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,4581.181925669774,-1.2225414619013633,1.0322500900133855,-1.1843461906460189,0.24659749954473448,0.3604117301038427,0,27
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,2755.9214853137937,1.3508508113560893,0.9174209505866929,1.4724438225355732,0.15246319135447237,0.24140005297791456,0,27
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,342.445154296978,4.123271010571643,0.7395901862370906,5.575075342129871,6.5268089053639145e-06,9.300702690143578e-05,1,27
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,589.1745365899397,2.848893351709367,0.8551553813898,3.331433577695951,0.0025124910067402064,0.01159218243403081,1,27
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,1512.3296334164047,1.1630460595217542,0.9307068612826832,1.249637354041707,0.22215636871608593,0.34224089234640265,0,27
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Rhodobacteraceae,55.68303418821883,4.79184547896331,0.5633552963252467,8.505902953642941,4.048486875927628e-09,1.9645881055413798e-07,1,27
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,138.2577079459082,0.7403197765135465,0.9320586717709,0.7942845219249429,0.43395602228005126,0.5540578185839521,0,27
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,118.57974359407868,-1.5656489635400974,0.8368000841835538,-1.870995227094969,0.07222061443606603,0.15613269721402634,1,27
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,680.4924150837306,-3.7859106073006465,1.007439070390788,-3.757954916153969,0.0008366104927387571,0.00433516346237356,1,27
