Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,1.2198083363563197,0.88,1.516,0.172,1.0,9005.309618763264,0.7480441140262133
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,0.0,-0.169,0.475,0.095,0.23493333333333333,2627.4295862943377,-1.011767323670066
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,2.0832867433784688,1.562,2.587,0.275,1.0,2109.1663361035485,1.9937801297517692
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,1.4690460772056597,0.852,2.116,0.339,1.0,589.2245679503458,1.1076181667519245
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,2.35898621415183,1.828,2.905,0.287,1.0,1511.3332961519195,2.391530389012209
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,1.851819686412909,1.236,2.416,0.318,1.0,780.2239470353014,1.659843754538393
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,0.7825851572735153,0.345,1.225,0.24,0.9935333333333334,2145.9689641901646,0.11726440180174369
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,0.0,-1.006,0.258,0.276,0.40526666666666666,97.29633326545107,-1.011767323670066
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,0.0,-0.536,0.585,0.17,0.3554,347.4988319296961,-1.0117673236700657
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,0.0,-0.62,0.606,0.19,0.34586666666666666,101.26707195209474,-1.011767323670066
