,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.3334257140767958,0.5734676044420646,0.5814203130117364,0.5609572103974916,0.7226746043859575,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Intestinibacter,5.10377448269238,0.5932703528835519,8.602780263476536,7.780785565016882e-18,1.8544205596623567e-16,1,0,0,True
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,3.827904931573448,0.9534603176539937,4.01475012719153,5.950880553065112e-05,0.00032729843041858116,1,0,0,True
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium_sensu_stricto_1,5.169137722554946,0.5839031799277996,8.852730898287138,8.540340772957105e-19,2.4425374610657322e-17,1,0,0,True
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Catenibacterium,1.5565915266831059,0.7685639833741883,2.02532457980828,0.042834046189408094,0.12010330598206582,1,0,0,True
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,3.684793649059535,0.5980874897550408,6.160960916552057,7.230483695964746e-10,7.953532065561221e-09,1,0,0,True
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,2.2460742374821234,0.5995295350072029,3.7463946416837306,0.00017939429730856021,0.0008845994660387625,1,0,0,True
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,1.5083086171855664,0.4862576599816683,3.101871171021612,0.001923016268737654,0.008087980189102485,1,0,0,True
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,-1.4890788556202788,0.8688608085448583,-1.713829005723187,0.08656013464114949,0.20630165422807295,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,3.094324521280531,0.7570046541769764,4.087589824192976,4.3587793087921346e-05,0.00026096585870923614,1,0,0,True
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelotrichaceae_UCG-003,4.960704559135201,0.3924674411755784,12.639786231123125,1.2739984724936445e-36,6.072726052219705e-35,1,0,0,True
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Terrisporobacter,3.972247709985317,0.6971647395736403,5.697717461176528,1.214220551635086e-08,1.2402395634558378e-07,1,0,0,True
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,2.621117314821374,0.6429057764620949,4.076985167632745,4.562340187224409e-05,0.00026096585870923614,1,0,0,True
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,0.3170430685558566,0.5749215706362061,0.5514544674415641,0.5813221714981518,0.730773593709282,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Dorea,2.2877165340112673,0.5031553255627258,4.546740177007367,5.4483189010878185e-06,4.100576857134516e-05,1,0,0,True
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae*Fusobacterium,-0.18895340323786072,0.812931765043407,-0.2324345183236522,0.8162005411999206,0.9054629741865401,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,1.998972067883263,0.7114307292258972,2.8097915731842655,0.004957359254648291,0.019691732594852934,1,0,0,True
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,0.47942462664699037,0.2975611977526743,1.6111799195185272,0.10714051318927213,0.2357091290163987,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,2.9554871661904767,0.6911153387963471,4.27640221578323,1.8993792747802457e-05,0.0001293386839493215,1,0,0,True
