,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,551664.7008822825,-1.304242058635782,0.7764356873560704,-1.6797811845524582,0.10453640814351502,0.21983391712533307,0,27
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Intestinibacter,591.9776384319324,6.485013328298667,0.926218365535168,7.001603044819386,1.585966717662658e-07,3.2399034375108585e-06,1,27
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,1158.4814343640962,4.495025800352127,1.4809985527533511,3.035131798066476,0.005270634459129379,0.03140419698564588,1,27
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium_sensu_stricto_1,1617.5049252019346,6.249449984990744,0.9534227727595358,6.554752166137873,4.973706291969093e-07,7.112399997515803e-06,1,27
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Catenibacterium,144.72819415127415,1.860838348103507,1.319390059401262,1.410377723285223,0.1698456103726608,0.3035990285411312,0,27
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,11027.67369071295,3.7634867899590265,0.9394175150980936,4.006191847046885,0.00043537835392116347,0.003662300271219199,1,27
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,56715.019258833585,1.5752405445597428,0.9477787363741584,1.6620340635473791,0.1080744961756753,0.22078075647316525,0,27
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,84434.74078583177,0.451402221147964,0.7091433444584316,0.6365458051258975,0.5297808222490386,0.6209726031279714,0,27
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,465.7027804714578,-2.8215993909204657,1.4907454974718337,-1.892743862520891,0.06915856530383728,0.17051163514566778,1,27
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,6925.414460387768,3.1487593432733876,1.2046724134262432,2.6137888675626857,0.01446320563962226,0.06267389110502979,1,27
