Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.0,-0.205,0.295,0.065,0.2292,2715.3062051170573,-0.8560444920076328
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Intestinibacter,2.248923203872193,1.725,2.798,0.292,1.0,674.2380325683871,2.388465861558899
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,1.6573818199983652,1.104,2.341,0.332,1.0,405.4679485936018,1.5350520405635335
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium_sensu_stricto_1,2.739076344508294,2.205,3.231,0.275,1.0,1429.008824557883,3.095607366830753
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Catenibacterium,0.0,-0.305,0.896,0.241,0.42433333333333334,56.241786280392944,-0.8560444920076328
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,2.2749287758212575,1.804,2.739,0.253,1.0,1726.0464523220785,2.4259839712452957
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,1.4886029048720983,1.089,1.912,0.217,1.0,1945.477862647033,1.2915555367042486
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,0.9135844086490155,0.522,1.321,0.217,1.0,1373.6743244933077,0.461979203783778
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,0.0,-1.011,0.2,0.269,0.3999333333333333,56.58025137797337,-0.8560444920076324
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,1.6772197777248168,1.119,2.178,0.289,1.0,775.0129868705275,1.5636721637968496
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelotrichaceae_UCG-003,1.9368298068496117,1.374,2.569,0.311,1.0,435.497830909453,1.9382102653802311
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Terrisporobacter,1.0789020223465424,0.442,1.737,0.363,0.9883333333333333,144.3963618341504,0.7004821052367977
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,1.2713138059039746,0.695,1.81,0.305,1.0,478.1735847799668,0.9780736311837055
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,0.0,-0.429,0.537,0.134,0.2966,268.18043227672075,-0.8560444920076328
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Dorea,1.221662682390965,0.694,1.747,0.278,1.0,662.0378245792263,0.9064422015169213
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae*Fusobacterium,0.0,-0.752,0.549,0.19,0.334,63.28573882479276,-0.8560444920076328
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,1.0125347098027413,0.446,1.601,0.31,0.9998666666666667,463.68002754762216,0.6047343125527278
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,0.0,-0.218,0.449,0.105,0.28813333333333335,875.3816903107513,-0.8560444920076328
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,1.4287205337820483,0.881,2.047,0.308,1.0,486.0835596328036,1.2051635368959615
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,0.0,-0.775,0.37,0.178,0.2924,164.2944112165054,-0.8560444920076328
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,1.5754551430822974,1.012,2.134,0.296,1.0,524.8513878841634,1.4168568300602102
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Alloprevotella,0.0,-0.447,0.837,0.222,0.3443333333333333,63.66659468274849,-0.8560444920076328
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Megasphaera,0.0,-0.807,0.435,0.205,0.31893333333333335,47.59177769137771,-0.8560444920076331
