,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia*Lachnospirales,1.5951264931136642,0.21299862868871633,7.488904989359523,6.945059102824692e-14,9.0285768336721e-13,1,0,0,True
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.039001216702201386,0.5334332079201715,0.07311358971119386,0.9417157275764405,0.9875484327701598,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,3.616514409096588,0.6569824085811119,5.504735533036862,3.6972286319170194e-08,2.883838332895275e-07,1,0,0,True
Bacteria*Firmicutes*Clostridia*Clostridiales,5.184913715639675,0.5664399522984679,9.153509907979878,5.51131354369955e-20,2.1494122820428248e-18,1,0,0,True
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,3.705267240678808,0.5302819781852772,6.9873527540176195,2.801213114264623e-12,2.7311827864080075e-11,1,0,0,True
Bacteria*Firmicutes*Clostridia*Oscillospirales,1.2097725212474806,0.4276849985601631,2.8286531566930795,0.00467443285887058,0.011393930093497038,1,0,0,True
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,-3.857587280802392,0.7500145503759276,-5.143349924169958,2.6988225967381537e-07,1.7542346878797998e-06,1,0,0,True
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,0.3325651810037186,0.6003189007815019,0.5539808601241466,0.5795919446554527,0.7534695280520886,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,-0.15959878050722226,0.8075767794209427,-0.19762675769560817,0.8433370980691967,0.9397184807056763,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,-2.631930030810619,0.5797765868908118,-4.539559013455445,5.637200188391353e-06,2.7481350918407847e-05,1,0,0,True
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,1.9077948612706905,0.6367667963648503,2.9960652348109797,0.002734879197172245,0.008888357390809797,1,0,0,True
Bacteria*Firmicutes*Clostridia*Monoglobales,2.718960928328503,0.5553550515722306,4.89589663519045,9.785849676324914e-07,5.452116248238166e-06,1,0,0,True
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales,3.0544918126382217,0.37211037279232123,8.208564006741533,2.238494695743871e-16,4.365064656700548e-15,1,0,0,True
Bacteria*Firmicutes*Clostridia*Christensenellales,0.7677531658089836,0.5143505878251331,1.4926650887196056,0.1355248761948224,0.24252860403066137,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,-0.7195293522532551,0.4649182050701035,-1.5476471869815458,0.1217072639357497,0.2373291646747119,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,-1.6054689309927923,0.5516660417716773,-2.9102188814030017,0.0036117571797427265,0.010403358773904157,1,0,0,True
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,-2.442621081797225,0.6165437029826237,-3.9617971442748905,7.438772995685439e-05,0.00029011214683173213,1,0,0,True
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,0.607731825809273,0.41494689968407894,1.464601437610382,0.14302968955654388,0.24252860403066137,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,-1.8637159054655235,0.526321613644326,-3.5410210357140546,0.0003985817992095061,0.0014131536517427944,1,0,0,True
Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales,0.9456765643078271,0.43024184335974136,2.1980116041784235,0.027948279012908223,0.06411664008843651,1,0,0,True
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,-0.5268538358548596,0.4204910693451248,-1.2529489310566921,0.21022429277258256,0.3279498967252288,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Chitinophagales,1.1841436875109816,0.4153537589443318,2.8509280631542033,0.004359183044362377,0.011333875915342179,1,0,0,True
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,0.9329685403339167,0.32174042164361233,2.8997554474748397,0.003734539047042518,0.010403358773904157,1,0,0,True
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,-0.5688426000906046,0.3378992678411415,-1.6834679865540219,0.09228453167023848,0.19994981861885003,1,0,0,True
Bacteria*Firmicutes*Bacilli*RF39,-0.3059136431132453,0.2667282223589205,-1.1469114157016174,0.251418234149185,0.3771273512237775,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales,0.3896463171754178,0.2651133913311795,1.4697345736438936,0.14163365505394676,0.24252860403066137,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,-0.4418411505659792,0.27302701841029076,-1.618305591653949,0.1055967562427724,0.2167512364983223,0,0,0,False
Bacteria*Patescibacteria*Saccharimonadia*Saccharimonadales,1.0791532221330398,0.2394279284705948,4.5072152986763,6.568397619857413e-06,2.8463056352715454e-05,1,0,0,True
Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales,0.18641412791278333,0.24095374957282673,0.7736510772016056,0.4391371583014067,0.6116553276341021,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Propionibacteriales,0.2808851958985593,0.22074631893481841,1.2724343366355233,0.20321884063493983,0.3279498967252288,0,0,0,False
Bacteria*Firmicutes*Clostridia*Eubacteriales,0.04983613571191112,0.18184903981208542,0.27405223455350397,0.7840444802780866,0.9397184807056763,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Acetobacterales,0.049836135711911145,0.19297392161281635,0.2582532152292711,0.7962114906015749,0.9397184807056763,0,0,0,False
Bacteria*Synergistota*Synergistia*Synergistales,0.03645808934776773,0.17312395062112124,0.2105895181860517,0.8332075921735133,0.9397184807056763,0,0,0,False
Bacteria*Actinobacteriota*Rubrobacteria*Rubrobacterales,0.1121234182036997,0.20161471060245761,0.5561271688393007,0.5781239232301247,0.7534695280520886,0,0,0,False
Bacteria*Deinococcota*Deinococci*Thermales,0.00942708214055639,0.18201345176744846,0.051793326531717046,0.9586933730723661,0.9875484327701598,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,-0.002727688312373605,0.17478057245445994,-0.015606358727794645,0.9875484327701598,0.9875484327701598,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,-0.16899059938595518,0.16768489411783202,-1.0077866600625673,0.31355689134814096,0.4529155097250925,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia*Chloroplast,-0.002727688312373633,0.16078901696383677,-0.01696439448340629,0.9864650207682477,0.9875484327701598,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales,-0.03678272989677289,0.14408975178461875,-0.25527651648504934,0.7985095363492336,0.9397184807056763,0,0,0,False
