Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales,0.9454332243532136,0.541,1.354,0.215,1.0,9049.975520949773,0.7811742716805322
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,-0.4910549649440636,-0.91,-0.131,0.256,0.8462666666666666,3666.6332246676093,-1.2912401153142163
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,1.7992079276711055,1.259,2.369,0.296,1.0,2158.7659870706575,2.012910802193701
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridiales,2.107432535200994,1.518,2.717,0.32,1.0,1546.1397856261792,2.4575849149570175
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales,1.3611149106675415,0.763,1.938,0.319,1.0,933.7409255723054,1.3808761791145747
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales,0.5356976685610838,-0.003,0.997,0.318,0.8001333333333334,2726.521162260766,0.19005081726334339
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,-1.065283304222904,-1.733,-0.392,0.381,0.983,104.56415466234452,-2.119676492729705
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,0.0,-0.681,0.457,0.201,0.37366666666666665,441.0173016614534,-0.5827975525855119
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,0.0,-0.634,0.545,0.182,0.3453333333333333,134.1668409867343,-0.5827975525855119
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales,-0.6369573231526346,-1.275,0.004,0.403,0.815,95.30924203761053,-1.5017327239557272
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,0.4829187626840115,-0.09,1.115,0.359,0.6406,392.68307835992016,0.11390695149094578
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Monoglobales,0.6424175800921819,-0.006,1.279,0.414,0.7452,298.41993952506715,0.3440151043933675
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales,0.658619985419106,-0.021,1.268,0.428,0.7261333333333333,218.70069223165984,0.3673902342089935
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales,0.0,-0.536,0.717,0.212,0.39426666666666665,122.00769389643915,-0.5827975525855119
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.0,-0.757,0.427,0.215,0.4078,105.43388852840181,-0.5827975525855119
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,0.0,0.0,0.0,0.0,0.0,119.95109373115335,-0.5827975525855119
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,-0.7273409574527667,-1.311,0.009,0.426,0.8120666666666667,113.94810779906855,-1.6321287449380486
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,0.0,-0.56,0.685,0.19,0.35706666666666664,101.80753382012131,-0.5827975525855117
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Acidaminococcales,-0.4515073385296638,-1.153,0.114,0.347,0.5922666666666667,88.28557837328394,-1.2341849508072327
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales,0.0,-0.522,0.686,0.198,0.36773333333333336,105.2232314786138,-0.5827975525855119
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,0.0,-0.735,0.449,0.204,0.3821333333333333,109.51747301828091,-0.5827975525855119
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Chitinophagales,0.0,-0.414,0.834,0.206,0.3436,108.75352763543401,-0.5827975525855119
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,0.0,-0.512,0.735,0.183,0.3021333333333333,107.7791372207078,-0.5827975525855117
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,-0.16314045337553268,-0.856,0.402,0.238,0.46426666666666666,88.93836965683364,-0.8181594756387696
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*RF39,0.0,-0.677,0.545,0.202,0.38606666666666667,98.99646153941045,-0.5827975525855119
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales,0.0,-0.604,0.584,0.202,0.42933333333333334,101.9093922746805,-0.5827975525855117
