,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes,1.4819102317068469,0.18815075735025458,7.8761853131857285,3.3752752604194566e-15,3.712802786461402e-14,1,0,0,True
Bacteria*Bacteroidota,0.0333539932808547,0.5425087140439533,0.06148102770963492,0.9509761235140639,0.9944645592542799,0,0,0,False
Bacteria*Actinobacteriota,0.6275674739085139,0.5767354223259952,1.088137557734032,0.27653438556707877,0.5069797068729777,0,0,0,False
Bacteria*Fusobacteriota,-0.16729702559928117,0.8040963880047522,-0.20805593470504738,0.8351852932268684,0.9944645592542799,0,0,0,False
Bacteria*Proteobacteria,-0.7338780770817971,0.4442678829108931,-1.6518819057397205,0.09855862737309468,0.32666193374661107,0,0,0,False
Bacteria*Verrucomicrobiota,0.600033580717213,0.4152735367931465,1.4449116727996518,0.14848269715755047,0.32666193374661107,0,0,0,False
Bacteria*Desulfobacterota,-0.4495393956580386,0.3058191066066514,-1.4699519616223395,0.1415747649707232,0.32666193374661107,0,0,0,False
Bacteria*Patescibacteria,1.0714549770409807,0.2611004472356144,4.103612185980328,4.067490748419676e-05,0.0002237119911630822,1,0,0,True
Bacteria*Synergistota,0.028759844255708544,0.20454907522215576,0.14060119423406425,0.8881850047486912,0.9944645592542799,0,0,0,False
Bacteria*Deinococcota,0.0017288370484971477,0.2491944882090282,0.00693770179638553,0.9944645592542799,0.9944645592542799,0,0,0,False
Bacteria*Cyanobacteria,-0.010425933404432763,0.22112414873199057,-0.04714968249383437,0.9623939304362794,0.9944645592542799,0,0,0,False
