,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia,-0.2654918408183923,0.4121265405398413,-0.644199814141129,0.519445871421947,0.960453619043526,0,0,0,False
Bacteria*Firmicutes*Clostridia,0.007327465652739923,0.4504974605396424,0.016265276265847294,0.9870227594009012,0.9870227594009012,0,0,0,False
Bacteria*Firmicutes*Negativicutes,-0.307458700492517,1.06260102644102,-0.2893453825489812,0.7723170865317669,0.960453619043526,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia,0.5241167850146813,1.3557164613282977,0.38659764041012273,0.699054105065807,0.960453619043526,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria,-0.23285857002652538,0.4981479487091543,-0.4674486176846245,0.6401789457045183,0.960453619043526,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia,0.6049217263082518,0.7376682281583131,0.8200457918846789,0.412190002957622,0.960453619043526,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria,0.30497743252482656,0.5361307380204013,0.5688489968900483,0.5694586203410753,0.960453619043526,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria,0.3910647874810944,0.7259997640515516,0.5386569071299667,0.5901236133213689,0.960453619043526,0,0,0,False
Bacteria*Synergistota*Synergistia,0.0731835282294119,0.44941200265498893,0.16284284308622368,0.8706421745618835,0.960453619043526,0,0,0,False
Bacteria*Firmicutes*Bacilli,-0.6114184639782915,0.6512034593315912,-0.938905429964798,0.34777930108927335,0.960453619043526,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae,-0.8986477066352939,0.6788525958376628,-1.323774427829089,0.18557797140040766,0.960453619043526,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia,0.7555279205058357,0.5842936688478853,1.293061966588807,0.195989628079231,0.960453619043526,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria,0.13114912990433766,0.37725954786681215,0.3476363438537508,0.7281133082497142,0.960453619043526,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia,-0.047438574939488554,0.3489055662509313,-0.1359639384639996,0.8918497891118456,0.960453619043526,0,0,0,False
