,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,-0.03631517196411847,0.5916709793908709,-0.06137730804628136,0.9510587238370298,0.9943597888518985,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,0.9080007710382989,1.5112449795345557,0.6008296360514307,0.547953462867447,0.9478717592546831,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,-0.3568459468367038,0.5164566214433239,-0.690950472935052,0.48959666583532957,0.9478717592546831,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,1.998564983799662,1.0651581700434278,1.8763081765764216,0.06061297492878894,0.5307650433343004,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,0.9260487125239627,0.7512996629995464,1.2325956713819552,0.21772665270260125,0.9478717592546831,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,-0.21423686736419478,0.5416152089261674,-0.3955517936598405,0.6924357055527115,0.9478717592546831,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,0.5558851417299213,1.3536778790403097,0.4106480207270701,0.6813306464825845,0.9478717592546831,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,-0.191831738153279,0.7489400269123218,-0.25613764955806895,0.7978445512646799,0.9478717592546831,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,-2.2192803013253988,1.0073978253200893,-2.2029830177767633,0.027595945607749847,0.5307650433343004,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,-0.4505482457506244,0.6257701839446448,-0.7199899536767952,0.4715311811273966,0.9478717592546831,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,1.4530784935794334,0.817508421311488,1.7774477371723363,0.07549460245545986,0.5307650433343004,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,1.6575869124687677,0.8926081302305608,1.857015252640162,0.06330898409269232,0.5307650433343004,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,0.3512835915908184,0.7834713240795584,0.44836815438461014,0.6538875208694719,0.9478717592546831,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,1.0335478132174882,0.964163054707909,1.071963718346996,0.2837363286058043,0.9478717592546831,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,-0.7141321900354078,0.8056067482667093,-0.8864525918779701,0.3753736899756537,0.9478717592546831,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,0.4711495243489489,0.5660317213322269,0.8323730041843578,0.405198434941427,0.9478717592546831,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,-0.6430965537220608,0.9489426931830257,-0.6776979878151869,0.4979632025176766,0.9478717592546831,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae,0.5207652822047255,0.7746656000322063,0.6722452658064009,0.5014275682275049,0.9478717592546831,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales*Desulfovibrionaceae,0.6366900830234923,0.718666254847781,0.8859329051958174,0.37565368335195354,0.9478717592546831,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,-0.5314498122023036,0.9122100381092532,-0.5825958825270602,0.5601653778817816,0.9478717592546831,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,-0.20663523428706831,0.652855665077836,-0.3165098280374613,0.7516155666253319,0.9478717592546831,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,0.21923955887783242,0.7443925712540972,0.2945214223571226,0.7683594962769595,0.9478717592546831,0,0,0,False
Bacteria*Synergistota*Synergistia*Synergistales*Synergistaceae,0.10495188494465241,0.34536587433350846,0.3038860893456538,0.7612146760328247,0.9478717592546831,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,0.6246245334469676,0.6008355160618067,1.0395932276791602,0.2985289246200701,0.9478717592546831,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,-0.19106427244446422,0.7668815286017039,-0.24914444450480105,0.8032490513806347,0.9478717592546831,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,-0.8668793499200533,0.6406722663457693,-1.353077689572098,0.1760308122939843,0.9478717592546831,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,-0.6579452942303361,0.724137647724254,-0.9085914760792503,0.36356580762952134,0.9478717592546831,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,0.5631732280305763,0.48171661000055366,1.1690965524936519,0.2423647327608887,0.9478717592546831,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,0.0698058503253062,0.3043973698764077,0.22932474861280494,0.8186165193563172,0.9478717592546831,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Eggerthellaceae,0.06798746811676243,0.2644737334159534,0.2570669957981594,0.79712705509511,0.9478717592546831,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae,0.054298103910114276,0.3221044197287776,0.16857298622550737,0.8661325303061003,0.9527457833367103,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae,0.5597357905685549,0.32439308925069443,1.7254861743863636,0.08443989325772962,0.5307650433343004,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,-1.14753859743483,0.5326483487916153,-2.154401867645279,0.0312086702450927,0.5307650433343004,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,-1.0931784850166701,0.561325222593738,-1.9474957493721314,0.05147532886047359,0.5307650433343004,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,-0.11139297806861935,0.24042975193632854,-0.4633077943619841,0.6431437596748361,0.9478717592546831,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria*Victivallales*Victivallaceae,0.1497992733962037,0.31646034080946545,0.47335875646545833,0.6359572494087147,0.9478717592546831,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriales_Incertae_Sedis,-0.0019483759391599187,0.2756219745088803,-0.007069015243184623,0.9943597888518985,0.9943597888518985,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales*Intrasporangiaceae,-0.008340044514654171,0.3030111381684671,-0.02752388762032009,0.9780418874968214,0.9943597888518985,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria*Victivallales*vadinBE97,-0.015670218224247967,0.29251467567823203,-0.053570707821460915,0.9572771947600278,0.9943597888518985,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Comamonadaceae,-0.35856733671249896,0.37193878906514094,-0.9640493200877198,0.33502119955046056,0.9478717592546831,0,0,0,False
Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae,-0.058920090098577765,0.2954761166260197,-0.19940728466102106,0.841944162577122,0.9498857218818813,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales*Micrococcaceae,-0.07330419372116734,0.2773792994224769,-0.2642742045776011,0.7915686356594023,0.9478717592546831,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptococcales*Peptococcaceae,-0.07330419372116734,0.2773792994224769,-0.2642742045776011,0.7915686356594023,0.9478717592546831,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Gammaproteobacteria_Incertae_Sedis*Unknown_Family,-0.09357744912657548,0.2798602949024696,-0.33437200928837335,0.7380988584329253,0.9478717592546831,0,0,0,False
