,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,610468.3641202832,-0.028437860489399114,0.7955659921543964,-0.035745445091725524,0.9717389570280034,0.9838468662485278,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,812.0488083553876,1.4917753347352933,2.4956682617627863,0.5977458453078195,0.5548136924507814,0.9838468662485278,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,282194.1926520844,-0.4958797696230197,0.7224782712558635,-0.6863594233236191,0.49813136626867227,0.9838468662485278,0,28
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,124.88290876089158,3.3058066964309267,2.033613636192326,1.6255824791874502,0.11524297021895843,0.6338363362042714,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,1541.777527813422,1.4470155274591412,1.1978988964058588,1.207961316101655,0.2371663141008855,0.9212659344063633,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,61948.32319724914,-0.3648623620191416,0.8821240076299944,-0.4136179934603736,0.6823048727191,0.9838468662485278,0,28
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,981.4856230737812,0.9059728484642491,2.3619050938475614,0.38357716015947635,0.7041890303933374,0.9838468662485278,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,6060.179987878816,-0.4815283155827913,1.2867932390496868,-0.37420799314923825,0.711068555122919,0.9838468662485278,0,28
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,10268.326463267704,-3.460533700433057,1.5817317646944944,-2.1878132422164804,0.037191628605529554,0.5008701504143612,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,6543.34664641714,-1.0142684816628962,1.2628986796431199,-0.8031273593139843,0.42866637340834846,0.9838468662485278,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,78.47868965774299,2.672378661837002,1.4718716901109525,1.8156328977531682,0.08015087442590756,0.5877730791233221,0,28
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,522.8866906477638,2.9706882985726906,1.4193597090257146,2.092977755872645,0.0455336500376692,0.5008701504143612,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,1213.5516613271695,0.22998312924686298,1.5077454220455468,0.15253445700060334,0.8798592891036461,0.9838468662485278,0,28
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,152.95300547616532,1.9857771401808424,1.7016887047718057,1.1669450085743693,0.25307514887234794,0.9212659344063633,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,10604.086387154264,-1.0900772574444593,1.39770658442665,-0.7799042156559757,0.44199033843801894,0.9838468662485278,0,28
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,81.17109524487866,0.8593426183125827,1.0891599317943186,0.7889958060584114,0.4367446189567755,0.9838468662485278,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,1014.4360721642215,-0.75909264270118,1.464377231115571,-0.51837233369362,0.6082710117042728,0.9838468662485278,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae,524.0567904756451,0.7860147562901011,1.4065023417777596,0.5588435461092881,0.5807109279158775,0.9838468662485278,0,28
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales*Desulfovibrionaceae,933.1792436249397,0.9708674734039545,1.136266437911176,0.8544364605089647,0.4001148865406735,0.9838468662485278,0,28
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,287.742304952733,-0.8988104835777021,1.5097683832608633,-0.5953300476702341,0.5564044163504246,0.9838468662485278,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,1371.375606973364,-0.42794422928192466,1.1909751959971808,-0.3593225372956782,0.7220495365556485,0.9838468662485278,0,28
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,287.01051907803753,0.34375606221883936,1.4817448594141003,0.23199409806271548,0.8182298296509993,0.9838468662485278,0,28
Bacteria*Synergistota*Synergistia*Synergistales*Synergistaceae,47.48720428061341,0.17941416502610752,0.7112607166086414,0.25224810092362654,0.8026917853910929,0.9838468662485278,0,28
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,122.0150475247888,1.306980409865858,1.1668547740741397,1.1200883253898526,0.27219220789278914,0.9212659344063633,0,28
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,296.189340868093,-0.17562773043331134,1.337802446241567,-0.13128076639919542,0.8964919575686541,0.9838468662485278,0,28
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,136.3904163737417,-1.5390628519915546,0.9347100358040773,-1.6465671631176906,0.11082689627442305,0.6338363362042714,0,28
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,240.0350798776573,-0.946641978455791,1.154503258123065,-0.8199560908947068,0.4191667250364036,0.9838468662485278,0,28
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,58.39249619635674,1.2989033521957827,0.9757522642550426,1.3311814891738492,0.19386719692297114,0.9212659344063633,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,33.685301021390465,0.20357425597385106,0.5236886322923443,0.3887314778683369,0.7004151629801112,0.9838468662485278,0,28
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Eggerthellaceae,42.81339830100664,0.13294113387989992,0.5348893620162175,0.24853949867088446,0.8055309352256388,0.9838468662485278,0,28
Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae,33.68530102139045,0.18107569150443953,0.5784705130003842,0.3130249294216303,0.7565814849355446,0.9838468662485278,0,28
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae,33.68530102139044,1.2175472227642432,0.638796134464641,1.906002802888967,0.06696295125720977,0.5877730791233221,0,28
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,295.0940782231556,-2.244602301788131,0.9671046128350785,-2.320950879562091,0.02779252867218672,0.5008701504143612,0,28
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,287.1773951892803,-2.095151396610868,0.940796216873076,-2.226998109722977,0.034164995515093444,0.5008701504143612,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,43.53462099470563,-0.20589451058057276,0.45591345862169363,-0.45160875751075213,0.655029636883492,0.9838468662485278,0,28
