,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.013772874093409257,0.5696964845792504,0.024175810218631102,0.9807123731391881,0.9950659236290218,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,1.5863495355052897,1.4315241078666598,1.1081542579603214,0.26779520172053795,0.9745100457980126,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,2.0250038578858525,1.0694716576263272,1.8934619196737867,0.05829646774067791,0.5635325214932198,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,-0.1687651733825491,1.1706019582975382,-0.14416956351926172,0.8853665746197441,0.9909869182550481,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae*Fusobacterium,0.6053991286687518,1.331426648906934,0.4546995729473858,0.6493253881529153,0.9909869182550481,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Alloprevotella,-0.16059266087866148,0.9180048812779875,-0.17493660889372906,0.8611294440577648,0.9909869182550481,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,-0.6846004722799858,0.5845975329956186,-1.1710628828211573,0.24157350193485255,0.9745100457980126,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospira,-1.6076096832064333,0.7738826335667998,-2.0773300930620615,0.03777110343541766,0.4883291719353372,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,1.0775282193430609,1.0774611060753776,1.0000622883436858,0.3172803648904197,0.9745100457980126,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Coprococcus,0.9248481263852949,0.8398868852723758,1.101157956628131,0.2708279164453767,0.9745100457980126,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,0.3830378253091926,0.8253733358687222,0.46407826454199363,0.6425916735998647,0.9909869182550481,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,-0.021053623113597444,0.7034214841110891,-0.029930310047613665,0.9761226327504694,0.9950659236290218,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,0.03996197710710982,0.8214246799026503,0.04864959391267114,0.9611985465011412,0.9950659236290218,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,-2.616312335220595,1.0130616333666584,-2.582579626992616,0.009806472960382248,0.4883291719353372,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Phascolarctobacterium,-2.3967888608445387,1.0220975664222274,-2.344970714717882,0.01902857413474509,0.4883291719353372,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,1.9869852436815145,0.9226870320893577,2.153476937008783,0.03128121473661202,0.4883291719353372,0,0,0,False
