,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,769700.5601675501,-0.14847014519150545,0.7842804947925576,-0.18930745591317535,0.8512174477397945,0.9929423660999301,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,305.0893865186751,2.5915727540463362,2.410699012051093,1.0750295831586834,0.2915382864046979,0.9929423660999301,0,28
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,157.41291029567654,3.1516377330258867,2.065456404526647,1.5258795712747888,0.1382574627354461,0.8151371642873355,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,7502.098607601683,-0.4119558955929139,1.902412939661059,-0.2165438885557147,0.8301337971182488,0.9929423660999301,0,28
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae*Fusobacterium,1237.4925193133079,0.7851114195523622,2.3441268904977144,0.33492701386385454,0.7401763783900199,0.9929423660999301,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Alloprevotella,107.61025828827579,-0.3226952251364487,1.383604511036803,-0.23322793656883736,0.8172810523360226,0.9929423660999301,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,62577.2704506455,-1.3133414922987043,1.0765999241241415,-1.2198974408874883,0.2326795521597062,0.9222999050621518,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospira,58044.13482121131,-2.8008948738960817,1.3825630001538953,-2.0258714240033253,0.05240236649008291,0.5856635683685998,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,3424.287160737963,1.7025676076529965,1.7021183304880954,1.0002639517810565,0.3257492336592328,0.9929423660999301,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Coprococcus,146.106829216779,1.403657439992877,1.600443162007106,0.877042979915987,0.3879265011789339,0.9929423660999301,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,382.66189888065196,0.2473573771316718,1.5434279185342352,0.16026493635451566,0.8738230048485286,0.9929423660999301,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,24880.99578479251,-0.3590255565287428,1.331270774312846,-0.26968635040760874,0.7893791896048908,0.9929423660999301,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,4119.550209180763,-0.2632506562376228,1.4762954103620156,-0.17831841404496998,0.8597568341037722,0.9929423660999301,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,4645.175460079377,-4.654148251771889,1.6006194514070904,-2.9077169140237977,0.007048785113376653,0.38828057938080474,0,28
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Phascolarctobacterium,12925.305827412261,-3.9879204110155144,1.6646508536785571,-2.3956497557448637,0.02351872324610462,0.48876237771877695,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,694.8544143878746,3.1018729171238975,1.6050069701969878,1.9326227080142802,0.0634557626477399,0.613405705594819,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,8250.08776069085,-1.142188806206173,1.2979672385843521,-0.8799827701752462,0.3863592003401851,0.9929423660999301,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,14404.742370044152,0.23659068373177047,1.1408578490707217,0.20737963447811122,0.837214275632259,0.9929423660999301,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae*Coprobacter,98.42832805432478,-0.13819080230987574,1.1155321829056508,-0.12387881266672841,0.9022962465737046,0.9929423660999301,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,1530.0897612635904,0.10995084454475579,1.5564554776208126,0.07064181798044485,0.9441849698490958,0.9929423660999301,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae*Parasutterella,1698.057020506557,-2.235787499180629,1.6105038918364931,-1.3882533972836981,0.17600711587234344,0.851748412682314,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae*Sutterella,1540.6985668515533,-0.6054724815478125,1.8459233579500043,-0.3280052115599327,0.7453479200177241,0.9929423660999301,0,28
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,118.57951249539066,-0.6502860481228705,1.3048144648236855,-0.498374340301892,0.6221126146169051,0.9929423660999301,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-005,108.99754533038696,0.2590523131470023,1.1021300576854753,0.23504695415986046,0.8158828084866152,0.9929423660999301,0,28
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,652.0012535988659,1.9361149578671801,1.5113078770840471,1.2810857319176856,0.21067275179919387,0.9222999050621518,0,28
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,102.34344832828424,0.7393103336104754,1.1338071245813668,0.6520600528802016,0.5196797437654603,0.9929423660999301,0,28
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Megasphaera,90.22075380131145,-0.09747354694179378,1.1472986333947224,-0.0849591763683889,0.9328984209605158,0.9929423660999301,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,1277.6037219406794,-1.089903007878499,1.4503504309756279,-0.7514756327857527,0.45863666676403836,0.9929423660999301,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae*Barnesiella,73.56304537806072,2.249738995006804,1.4200629266186937,1.5842530305073512,0.12436709197123054,0.8151371642873355,0,28
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Intestinibacter,73.91849069073923,1.5160872879619645,1.303768778952801,1.1628498184928924,0.25470561827985627,0.9530919909826879,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_UCG-001,42.47164405143202,0.22877136175869864,0.7253300308511623,0.3154031296487743,0.7547943970652582,0.9929423660999301,0,28
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales*Desulfovibrionaceae*Bilophila,1050.396849703755,0.08423367697597703,1.3043310737953555,0.06457998177630855,0.9489672913533731,0.9929423660999301,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae*Odoribacter,227.38829509261356,1.0627232639359685,1.4819191932967823,0.7171263242577749,0.4792362365378493,0.9929423660999301,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,3776.8831137057223,-2.6713898911157496,1.4763078577730038,-1.8095073307714529,0.08112036926331455,0.7238432949649606,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Marvinbryantia,42.471644051431994,1.3625989551174127,1.1264623588503506,1.2096267082621912,0.23653645468713302,0.9222999050621518,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,1124.6100763282182,-1.1528128878568713,1.4891916197739588,-0.7741199134815534,0.44534750468904294,0.9929423660999301,0,28
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Mitsuokella,42.47164405143202,0.6492917279688862,1.0084460005053673,0.6438537389642119,0.524909563793511,0.9929423660999301,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Dorea,1498.909531138096,-0.5037608532833169,1.448091728002361,-0.3478791043011161,0.7305327368875301,0.9929423660999301,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,1158.5965811726624,-0.4701076293859754,1.5398535014090784,-0.30529373668065996,0.7624004975123398,0.9929423660999301,0,28
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium_sensu_stricto_1,362.7958897185072,-1.0188427682798096,1.5264491790809298,-0.667459344367594,0.5099428902844625,0.9929423660999301,0,28
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Veillonella,84.98467346433088,0.3050528462133283,1.333001809000261,0.22884653580636555,0.8206514599990233,0.9929423660999301,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Paraprevotella,228.36828010734172,-0.986069607671088,1.3704063271578304,-0.7195454283374173,0.4777682468375668,0.9929423660999301,0,28
