Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,-0.4317817695674254,-0.953,0.024,0.3,0.7884666666666666,15423.22607441232,-0.3069463978298433
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales,0.0,-0.908,0.13,0.293,0.6401333333333333,6623.714593773401,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.6748561268847132,-0.051,1.615,0.504,0.8324666666666667,738.239084839405,1.2895946074414508
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales,0.0,-0.658,0.358,0.188,0.46513333333333334,2828.2448628886336,0.31598301987134186
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,0.0,-0.538,0.729,0.233,0.4738,411.3364975892064,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.0,-0.694,0.365,0.211,0.49066666666666664,951.8539493254508,0.31598301987134186
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Acidaminococcales,0.0,-1.223,0.167,0.383,0.6566666666666666,725.1739872287849,0.3159830198713416
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,0.0,-0.627,0.889,0.287,0.5249333333333334,114.71050520171684,0.31598301987134186
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,0.0,-0.133,1.242,0.402,0.6770666666666667,527.1112403095906,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,0.0,0.0,0.0,0.0,0.0,955.6689901176173,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales,0.0,-0.623,0.954,0.305,0.5345333333333333,127.28282875542129,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.0,-0.612,0.575,0.208,0.45913333333333334,450.5241165410313,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,0.0,-0.49,0.552,0.176,0.4344,608.7523948584031,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridiales,0.0,-0.903,0.586,0.275,0.48933333333333334,186.49633892235232,0.31598301987134186
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,0.0,-0.73,0.883,0.291,0.4862,56.17161782622886,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,0.0,-0.725,0.53,0.232,0.4844,299.5890218999081,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Synergistota*Synergistia*Synergistales,0.0,-0.862,0.893,0.325,0.5040666666666667,41.737984290462535,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales,0.0,-0.73,0.485,0.225,0.492,404.40287986467104,0.31598301987134236
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Monoglobales,0.0,-0.721,0.749,0.254,0.48073333333333335,249.48819724666535,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales,0.0,-0.877,0.377,0.252,0.4835333333333333,377.81762605835644,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,0.0,-1.138,0.541,0.369,0.5632666666666667,82.0567932755315,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,0.0,-0.296,1.359,0.393,0.5812,145.53427246300794,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,0.0,-0.611,0.868,0.293,0.5507333333333333,71.83785808311359,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Lentisphaeria*Victivallales,0.0,-0.799,1.076,0.366,0.5368666666666667,25.904368137642432,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*RF39,0.0,-0.846,1.196,0.411,0.5771333333333334,12.006061034077506,0.31598301987134236
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,0.0,-0.76,1.129,0.354,0.5514666666666667,26.401256624914673,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Cyanobacteriia*Chloroplast,0.0,-0.914,0.962,0.362,0.5428666666666667,12.224126837173873,0.31598301987134186
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,0.0,-1.058,0.962,0.372,0.5354666666666666,11.827314072272847,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Bacillales,0.0,-0.761,1.183,0.343,0.5124,10.375130127503056,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptococcales,0.0,-0.885,0.96,0.349,0.5306666666666666,11.922312070187237,0.31598301987134186
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Gammaproteobacteria_Incertae_Sedis,0.0,-0.911,1.032,0.355,0.5194666666666666,10.584721659030578,0.3159830198713421
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*CCM19a,0.0,-0.898,1.012,0.367,0.5336,11.616326999249349,0.3159830198713421
