Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia,0.0,,,0.0,0.0,8279.602846825337,1.2594940474244823e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia,0.0,-0.007,-0.0,0.002,0.3564,6957.324586031249,1.2594940473924483e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes,0.0,0.0,0.012,0.004,0.5816,438.14516432629176,1.2594940473924483e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae,0.0,,,0.0,0.0,176.01166669301153,1.2594940474244823e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria,0.0,0.0,0.0,0.0,0.0,414.69789068247377,1.2594940473924483e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria,0.0,0.0,0.011,0.003,0.2773333333333333,228.04666541159276,1.2594940473924483e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli,0.0,,,0.0,0.0,608.2282853796906,1.2594940473924483e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria,0.0,,,0.0,0.0,120.48801421278031,1.2594940473924483e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota*Desulfovibrionia,-0.011661600779494904,-0.026,-0.0,0.009,0.8579333333333333,152.30554689580288,-0.01681153867293021
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia,0.005946242786125266,0.0,0.014,0.005,0.8238,161.98383133151648,0.008591209919938572
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia,0.0,,,0.0,0.0,69.44605616241725,1.2594940474244823e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Vampirivibrionia,0.006906060691141608,0.0,0.016,0.005,0.8874,81.65118574169504,0.009975934451661917
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Campilobacterota*Campylobacteria,-0.005015565565590197,-0.012,-0.0,0.004,0.7918666666666667,70.00276318236614,-0.007223336628256465
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Synergistota*Synergistia,0.0,-0.001,-0.0,0.0,0.0031333333333333335,67.19173714852421,1.2594940474244823e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Patescibacteria*Gracilibacteria,0.0,,,0.0,0.0,64.1709284893293,1.2594940473924483e-05
